size_1, gflops, gflops_mpi, speedup
2, 23.6529, 3.48478, 0.14733
2, 23.6252, 2.71613, 0.114967
2, 23.1703, 2.94438, 0.127075
2, 22.9241, 2.83973, 0.123875
2, 22.7871, 2.4837, 0.108996
2, 23.9001, 3.23056, 0.135169
2, 21.4881, 2.90601, 0.135238
2, 22.8707, 2.72959, 0.119349
2, 21.0917, 3.28249, 0.15563
2, 22.4031, 3.47184, 0.154971
2, 22.0305, 3.02679, 0.137391
2, 23.7314, 3.162, 0.133241
2, 21.943, 2.58791, 0.117937
2, 18.5213, 3.03687, 0.163966
2, 26.1663, 2.84605, 0.108768
2, 21.5069, 3.28472, 0.152729
2, 24.0678, 3.30291, 0.137234
2, 21.1124, 2.57876, 0.122144
2, 22.7765, 2.73877, 0.120245
2, 23.6855, 2.7219, 0.114918
2, 23.0675, 2.65768, 0.115213
2, 24.2516, 2.58226, 0.106478
2, 22.4207, 2.597, 0.11583
2, 22.406, 2.56714, 0.114574
2, 23.5054, 2.64162, 0.112384
2, 23.2127, 2.77692, 0.11963
2, 23.6512, 2.75642, 0.116544
2, 22.18, 2.67006, 0.120381
2, 22.822, 2.57621, 0.112883
2, 24.1781, 2.76673, 0.114431
2, 23.5457, 3.48496, 0.148008
2, 22.3943, 2.60042, 0.11612
2, 23.3502, 2.65089, 0.113528
2, 23.837, 2.68372, 0.112586
2, 24.0779, 3.14233, 0.130507
2, 24.0898, 2.68862, 0.111608
2, 20.7072, 2.61809, 0.126434
2, 23.7003, 2.56201, 0.1081
2, 21.5339, 3.13911, 0.145775
2, 23.832, 2.61699, 0.10981
2, 21.5705, 2.80761, 0.13016
2, 22.5016, 3.02196, 0.1343
2, 19.9114, 2.7499, 0.138106
2, 21.8119, 3.06501, 0.14052
2, 24.6773, 2.67764, 0.108506
2, 21.5366, 2.83101, 0.131451
2, 22.7162, 3.21027, 0.141321
2, 22.9333, 3.14588, 0.137175
2, 22.2852, 3.12518, 0.140236
2, 23.9518, 3.25169, 0.135759
2, 23.3518, 3.36443, 0.144076
2, 23.9602, 2.71192, 0.113184
2, 23.0427, 3.02407, 0.131238
2, 23.6561, 2.66156, 0.11251
2, 24.7182, 2.70738, 0.10953
2, 22.4603, 2.96003, 0.131789
2, 22.1886, 2.64569, 0.119236
2, 20.9487, 2.73896, 0.130746
2, 22.4676, 3.13026, 0.139323
2, 23.8419, 3.26481, 0.136936
2, 22.7659, 3.25005, 0.14276
2, 22.7962, 2.62315, 0.11507
2, 21.3344, 2.8364, 0.13295
2, 21.3224, 3.2515, 0.152492
2, 25.6612, 3.24103, 0.126301
2, 16.7348, 3.41862, 0.204281
2, 23.1829, 2.89468, 0.124863
2, 23.5911, 2.5725, 0.109045
2, 24.2327, 2.72458, 0.112434
2, 20.4029, 3.18446, 0.156079
2, 23.2504, 2.98403, 0.128343
2, 23.2947, 2.67955, 0.115028
2, 22.8889, 3.38609, 0.147936
2, 23.9602, 3.11022, 0.129808
2, 20.656, 2.64382, 0.127992
2, 23.8702, 2.69398, 0.11286
2, 22.4839, 2.99662, 0.133279
2, 20.0664, 2.81667, 0.140368
2, 21.9994, 3.10013, 0.140919
2, 23.5911, 3.15889, 0.133902
2, 23.1344, 3.1355, 0.135534
2, 24.3134, 3.2197, 0.132425
2, 22.8219, 2.64526, 0.115909
2, 20.7988, 3.21593, 0.154621
2, 23.7347, 3.07509, 0.129561
2, 22.8159, 3.07702, 0.134863
2, 23.0149, 3.3565, 0.14584
2, 21.8815, 3.26839, 0.149368
2, 24.4765, 3.22266, 0.131664
2, 22.4883, 2.7956, 0.124313
2, 17.2334, 3.2959, 0.19125
2, 20.1111, 3.19952, 0.159092
2, 21.5258, 3.30177, 0.153387
2, 23.5183, 2.68584, 0.114202
2, 23.2127, 3.08092, 0.132725
2, 22.822, 3.16089, 0.138502
2, 22.8508, 3.31152, 0.144919
2, 21.5272, 2.99025, 0.138906
2, 23.6855, 2.62045, 0.110635
2, 23.0242, 2.66985, 0.115958
4, 169.693, 25.7593, 0.151799
4, 191.187, 21.7281, 0.113649
4, 155.995, 21.7271, 0.139281
4, 156.476, 21.9501, 0.140278
4, 184.243, 23.0875, 0.12531
4, 183.491, 22.7992, 0.124252
4, 175.108, 21.783, 0.124398
4, 179.694, 22.9213, 0.127557
4, 183.124, 21.352, 0.116599
4, 156.476, 26.2158, 0.167539
4, 134.74, 21.6542, 0.160712
4, 186.903, 21.5497, 0.115299
4, 159.042, 23.7538, 0.149355
4, 161.428, 24.3956, 0.151124
4, 158.39, 23.0827, 0.145733
4, 189.511, 23.2682, 0.122781
4, 157.067, 21.5746, 0.137359
4, 168.568, 22.4583, 0.13323
4, 161.98, 24.7995, 0.153102
4, 158.747, 22.9253, 0.144414
4, 176.652, 22.4609, 0.127148
4, 161.589, 23.7072, 0.146713
4, 157.256, 21.5722, 0.137179
4, 161.172, 21.308, 0.132207
4, 177.119, 21.5619, 0.121736
4, 184.23, 25.7658, 0.139857
4, 153.182, 22.5545, 0.147239
4, 158.959, 25.3638, 0.159562
4, 181.381, 23.4758, 0.129428
