size_1, gflops, gflops_mpi, speedup
2, 25.3539, 2.7361, 0.107916
2, 23.1423, 3.11375, 0.134548
2, 27.0431, 2.59934, 0.0961185
2, 25.1477, 3.02303, 0.120211
2, 24.4625, 3.23812, 0.132371
2, 25.0448, 2.91885, 0.116545
2, 26.8315, 3.37486, 0.12578
2, 25.384, 3.00205, 0.118266
2, 25.8801, 2.66891, 0.103126
2, 26.3128, 2.98174, 0.113319
2, 26.0017, 2.61781, 0.100678
2, 25.5466, 2.66825, 0.104446
2, 22.8448, 3.00713, 0.131633
2, 23.3549, 2.65109, 0.113513
2, 22.9456, 3.08644, 0.134511
2, 25.5276, 2.51162, 0.0983883
2, 23.6905, 2.50169, 0.105599
2, 23.6937, 2.93408, 0.123833
2, 24.9574, 2.89537, 0.116012
2, 25.9545, 3.01535, 0.116178
2, 26.1264, 3.28995, 0.125924
2, 26.6315, 3.19056, 0.119804
2, 26.3472, 3.14501, 0.119368
2, 27.0494, 2.41825, 0.0894012
2, 26.7103, 2.59533, 0.0971659
2, 24.2498, 2.91547, 0.120227
2, 26.8064, 2.56204, 0.0955759
2, 27.0239, 3.06874, 0.113556
2, 25.4254, 2.69894, 0.106151
2, 25.3746, 3.51222, 0.138415
2, 25.8859, 3.60817, 0.139387
2, 27.3908, 2.88642, 0.105379
2, 27.5071, 2.94147, 0.106935
2, 26.7541, 2.55179, 0.0953794
2, 28.0401, 3.07694, 0.109734
2, 26.8336, 2.63373, 0.0981505
2, 24.3861, 2.90068, 0.118948
2, 25.4141, 2.6003, 0.102318
2, 27.0451, 2.47551, 0.0915325
2, 26.0728, 2.55441, 0.0979722
2, 28.0172, 2.59131, 0.09249
2, 24.3186, 3.44088, 0.141491
2, 21.7607, 2.9123, 0.133833
2, 26.0807, 2.83647, 0.108757
2, 23.7281, 3.67382, 0.15483
2, 25.9958, 3.07049, 0.118115
2, 26.3007, 2.96389, 0.112692
2, 24.9792, 3.84002, 0.153729
2, 23.0613, 2.8564, 0.123861
2, 25.884, 3.00747, 0.11619
2, 24.5659, 2.8801, 0.11724
2, 27.0005, 2.51737, 0.0932341
2, 25.6747, 2.65886, 0.10356
2, 25.9446, 2.97673, 0.114734
2, 27.3863, 2.50324, 0.0914047
2, 27.4565, 2.47826, 0.0902615
2, 24.5221, 2.39655, 0.0977305
2, 25.8158, 3.51492, 0.136154
2, 25.8002, 2.87397, 0.111393
2, 25.7827, 2.82702, 0.109648
2, 22.4662, 2.92143, 0.130037
2, 25.6305, 3.47483, 0.135574
2, 25.9584, 2.69805, 0.103937
2, 25.927, 3.06208, 0.118104
2, 26.4692, 3.60267, 0.136108
2, 25.7866, 3.10614, 0.120455
2, 25.9997, 3.51607, 0.135235
2, 25.6632, 2.87648, 0.112086
2, 22.7026, 3.5689, 0.157202
2, 26.3979, 2.54966, 0.096586
2, 24.0441, 2.96638, 0.123372
2, 27.075, 2.54855, 0.0941291
2, 28.4564, 2.91072, 0.102287
2, 24.8489, 3.09337, 0.124487
2, 25.8742, 2.69909, 0.104316
2, 24.7378, 2.56949, 0.103869
2, 23.679, 2.92059, 0.123341
2, 27.0409, 2.58307, 0.0955245
2, 26.3918, 2.63437, 0.099818
2, 27.0579, 2.59484, 0.0958992
2, 27.5956, 2.81118, 0.10187
2, 25.3821, 2.82609, 0.111342
2, 25.5466, 2.91025, 0.113919
2, 27.0366, 3.5995, 0.133134
2, 25.3128, 3.39736, 0.134215
2, 23.2631, 3.07404, 0.132143
2, 26.51, 2.77483, 0.104671
2, 24.5818, 2.80293, 0.114025
2, 26.0986, 3.16075, 0.121108
2, 26.8021, 3.11763, 0.11632
2, 25.9584, 2.82695, 0.108903
2, 24.8022, 2.61364, 0.105379
2, 25.8332, 2.60147, 0.100702
2, 26.5923, 2.59727, 0.0976701
2, 24.6489, 2.7925, 0.113291
2, 23.6529, 2.9727, 0.12568
2, 26.461, 2.51879, 0.0951888
2, 21.5637, 3.08627, 0.143123
2, 25.2458, 2.65351, 0.105107
2, 19.7714, 3.07597, 0.155577
4, 202.413, 23.8872, 0.118012
4, 210.406, 20.5894, 0.0978556
4, 206.822, 19.6644, 0.0950789
4, 196.513, 22.1591, 0.112761
4, 196.965, 21.8485, 0.110926
4, 202.129, 22.7559, 0.112581
4, 192.138, 23.4409, 0.122001
4, 213.185, 27.3389, 0.12824
4, 192.259, 21.6435, 0.112575
4, 184.342, 23.1594, 0.125633
4, 214.602, 20.5169, 0.0956044
4, 213.069, 23.6978, 0.111221
4, 168.257, 30.115, 0.178982
4, 194.026, 23.3766, 0.120482
4, 207.573, 21.0769, 0.10154
4, 205.783, 20.7469, 0.100819
4, 203.192, 23.4021, 0.115173
4, 211.46, 19.9383, 0.094289
4, 192.935, 23.9238, 0.123999
4, 186.269, 24.4938, 0.131497
4, 215.512, 22.7967, 0.105779
4, 197.518, 20.3299, 0.102927
4, 185.463, 20.3741, 0.109856
4, 197.461, 22.9687, 0.11632
4, 202.922, 20.9599, 0.10329
4, 198.288, 21.8157, 0.11002
4, 202.952, 22.3843, 0.110293
4, 160.493, 22.3755, 0.139417
4, 210.745, 23.699, 0.112454
4, 212.228, 22.5302, 0.10616
4, 203.69, 20.9141, 0.102676
4, 208.948, 20.961, 0.100317
4, 207.337, 20.5792, 0.0992546
4, 174.407, 23.3242, 0.133734
4, 197.12, 23.5599, 0.11952
4, 208.488, 19.8394, 0.0951587
4, 191.735, 22.8562, 0.119207
4, 205.598, 23.5935, 0.114755
4, 210.842, 21.7405, 0.103113
4, 195.464, 19.9347, 0.101987
4, 205.984, 23.7403, 0.115253
4, 204.464, 23.8382, 0.116589
4, 178.016, 19.5787, 0.109983
4, 196.471, 19.9351, 0.101466
4, 197.902, 24.1213, 0.121885
4, 189.341, 22.996, 0.121453
4, 200.096, 22.8468, 0.11418
4, 212.032, 19.5262, 0.0920909
4, 207.746, 20.3426, 0.0979205
4, 184.801, 22.7506, 0.123109
4, 202.16, 23.282, 0.115167
4, 220.287, 20.2988, 0.092147
4, 200.622, 20.6674, 0.103016
4, 208.582, 28.2922, 0.13564
4, 211.786, 23.3792, 0.110391
4, 190.695, 22.7555, 0.119329
4, 208.25, 23.2546, 0.111667
4, 211.166, 20.162, 0.0954794
4, 187.145, 21.8956, 0.116998
4, 211.704, 21.1943, 0.100113
4, 205.09, 19.7748, 0.09642
4, 199.441, 19.9182, 0.09987
4, 203.253, 20.0217, 0.0985064
4, 208.916, 20.2857, 0.0971
4, 180.084, 21.9916, 0.122119
4, 215.851, 19.9684, 0.0925101
4, 189.891, 20.5224, 0.108075
4, 204.663, 20.2406, 0.0988972
4, 209.522, 23.5284, 0.112295
4, 214.367, 22.7867, 0.106298
4, 193.711, 20.8614, 0.107694
4, 197.276, 20.6389, 0.10462
4, 211.086, 21.7769, 0.103166
4, 213.384, 25.5861, 0.119907
4, 194.191, 20.177, 0.103903
4, 207.181, 24.9044, 0.120206
4, 206.822, 20.7966, 0.100553
4, 188.146, 25.3974, 0.134988
4, 212.837, 22.543, 0.105916
4, 191.963, 23.3707, 0.121746
4, 190.286, 20.7131, 0.108852
4, 198.274, 22.7107, 0.114542
4, 189.812, 23.8115, 0.125448
4, 210.81, 20.85, 0.0989044
4, 213.334, 22.754, 0.106659
4, 178.468, 20.8735, 0.11696
4, 185.564, 23.0445, 0.124186
4, 190.339, 22.9637, 0.120646
4, 204.769, 24.8311, 0.121264
4, 207.384, 22.3284, 0.107667
4, 208.297, 23.3002, 0.11186
4, 185.978, 24.6602, 0.132597
4, 161.627, 22.7682, 0.140868
4, 199.47, 23.8198, 0.119415
4, 199.152, 20.8905, 0.104897
4, 211.966, 23.5447, 0.111078
4, 211.509, 22.1057, 0.104514
4, 197.304, 21.8463, 0.110724
4, 199.717, 21.1633, 0.105966
4, 206.884, 25.3058, 0.122319
6, 515.983, 74.659, 0.144693
6, 581.234, 77.9472, 0.134106
6, 517.308, 72.8938, 0.14091
6, 593.793, 67.4934, 0.113665
6, 604.529, 78.1122, 0.129212
6, 543.317, 77.1801, 0.142054
6, 588.997, 66.6699, 0.113192
6, 583.1, 83.5827, 0.143342
6, 560.819, 81.0035, 0.144438
6, 589.522, 69.8171, 0.11843
6, 569.755, 74.9163, 0.131489
6, 478.13, 72.457, 0.151542
6, 588.66, 85.6187, 0.145447
6, 494.917, 73.2426, 0.14799
6, 482.616, 74.9946, 0.155392
6, 595.702, 77.3677, 0.129877
6, 547.654, 63.9753, 0.116817
6, 601.154, 78.2046, 0.130091
6, 475.406, 91.3837, 0.192222
6, 508.476, 85.5231, 0.168195
6, 488.521, 74.5695, 0.152643
6, 584.646, 76.8407, 0.131431
6, 591.329, 76.5979, 0.129535
6, 577.681, 78.1999, 0.135369
6, 515.983, 65.6584, 0.127249
6, 566.723, 65.1242, 0.114914
6, 473.874, 77.6661, 0.163896
6, 581.123, 70.9527, 0.122096
6, 546.781, 76.3699, 0.139672
6, 593.373, 98.6187, 0.1662
6, 587.538, 64.8501, 0.110376
6, 584.867, 89.6682, 0.153314
6, 579.996, 66.2445, 0.114215
6, 585.312, 68.8594, 0.117646
6, 590.8, 73.4575, 0.124336
6, 581.635, 79.1395, 0.136064
6, 593.108, 82.0702, 0.138373
6, 601.818, 79.174, 0.131558
6, 464.16, 66.499, 0.143267
6, 476.507, 70.869, 0.148726
6, 500.29, 64.9534, 0.129831
6, 461.11, 67.1061, 0.145532
6, 579.742, 63.4428, 0.109433
6, 478.946, 69.3295, 0.144754
6, 579.561, 66.6185, 0.114947
6, 582.001, 68.7924, 0.1182
6, 527.594, 64.3102, 0.121893
6, 591.894, 82.205, 0.138885
6, 574.955, 70.6334, 0.12285
6, 562.626, 78.7298, 0.139933
6, 483.244, 67.7809, 0.140262
6, 533.336, 79.7371, 0.149506
6, 442.218, 72.9173, 0.16489
6, 571.161, 81.2644, 0.142279
6, 499.696, 64.5226, 0.129124
6, 587.091, 68.7326, 0.117073
6, 593.716, 68.1084, 0.114715
6, 537.608, 66.4937, 0.123684
6, 597.585, 68.2042, 0.114133
6, 557.143, 73.8942, 0.132631
6, 459.964, 77.1512, 0.167733
6, 553.314, 76.5112, 0.138278
6, 566.653, 69.648, 0.122911
6, 576.494, 67.0619, 0.116327
6, 575.455, 78.5788, 0.136551
6, 466.545, 74.0756, 0.158775
6, 614.15, 76.1614, 0.124011
6, 527.564, 66.3551, 0.125776
6, 526.604, 65.0186, 0.123468
6, 563.309, 74.5587, 0.132358
6, 586.943, 76.231, 0.129878
6, 589.896, 71.6509, 0.121464
6, 564.167, 74.0099, 0.131184
6, 551.174, 66.6641, 0.120949
6, 576.781, 85.0151, 0.147396
6, 454.278, 77.4635, 0.17052
6, 581.928, 75.1491, 0.129138
6, 595.357, 65.591, 0.110171
6, 521.503, 68.2338, 0.130841
6, 554.34, 92.832, 0.167464
6, 573.319, 67.4605, 0.117667
6, 475.284, 76.8177, 0.161625
6, 591.593, 67.1071, 0.113435
6, 486.162, 72.2056, 0.148522
6, 589.409, 74.9036, 0.127082
6, 565.857, 65.0666, 0.114988
6, 551.568, 75.0791, 0.136119
6, 431.867, 72.9403, 0.168896
6, 494.758, 67.0056, 0.135431
6, 498.862, 65.4242, 0.131147
6, 445.087, 74.2568, 0.166836
6, 588.061, 70.5516, 0.119973
6, 438.097, 71.773, 0.163829
6, 611.635, 65.6789, 0.107382
6, 584.093, 61.9955, 0.10614
6, 616.438, 79.9511, 0.129699
6, 597.586, 64.2647, 0.10754
6, 596.816, 74.3814, 0.12463
6, 589.821, 77.1608, 0.130821
6, 505.644, 76.3497, 0.150995
8, 1091.64, 175.554, 0.160817
8, 1283.04, 153.508, 0.119644
8, 1230.13, 161.73, 0.131474
8, 1207.33, 184.996, 0.153227
8, 1071.13, 185.643, 0.173315
8, 1200.99, 160.459, 0.133606
8, 933.251, 161.458, 0.173005
8, 1134.05, 176.448, 0.155591
8, 1210.79, 151.781, 0.125357
8, 1120.56, 176.995, 0.157952
8, 1166.1, 157.698, 0.135236
8, 1251.16, 189.376, 0.15136
8, 1258.7, 158.436, 0.125873
8, 1217.57, 175.602, 0.144223
8, 1245.55, 145.126, 0.116515
8, 1181.22, 165.174, 0.139834
8, 1129.09, 149.257, 0.132192
8, 1254.52, 150.774, 0.120185
8, 1122.11, 166.004, 0.14794
8, 1098.75, 171.298, 0.155904
8, 1015.4, 169.704, 0.167131
8, 1140.17, 155.051, 0.135989
8, 1065.78, 188.274, 0.176654
8, 1238.67, 178.631, 0.144213
8, 1242.17, 170.842, 0.137535
8, 1230.48, 166.762, 0.135526
8, 1226.49, 154.346, 0.125844
8, 1268.88, 176.415, 0.139032
8, 944.82, 173.828, 0.18398
8, 1050.93, 161.222, 0.153408
8, 1182.62, 150.097, 0.126919
8, 1234.97, 155.368, 0.125807
8, 1251.31, 153.347, 0.12255
8, 1262.02, 161.243, 0.127766
8, 1155.9, 166.286, 0.143858
8, 1145.95, 160.873, 0.140384
8, 1311.87, 183.614, 0.139963
8, 1200.14, 212.395, 0.176975
8, 1243.86, 178.241, 0.143297
8, 1239.93, 159.347, 0.128513
8, 1105.61, 154.995, 0.14019
8, 1190.31, 152.749, 0.128327
8, 1258.91, 153.763, 0.12214
8, 1243.37, 217.261, 0.174736
8, 1245.06, 154.232, 0.123875
8, 925.463, 156.107, 0.16868
8, 1247.54, 154.769, 0.12406
8, 1112.66, 158.932, 0.142839
8, 1301.14, 205.378, 0.157845
8, 1223.96, 184.601, 0.150823
8, 1140.47, 151.242, 0.132614
8, 1189.21, 173.564, 0.145948
8, 1212.73, 150.089, 0.123761
8, 1180.9, 153.611, 0.13008
8, 1164.8, 147.639, 0.126751
8, 1274.26, 184.068, 0.144452
8, 1303.61, 161.506, 0.123891
8, 1030.85, 152.391, 0.147831
8, 1337.37, 158.563, 0.118563
8, 1189.41, 195.111, 0.16404
8, 1198.17, 147.103, 0.122773
8, 1090.66, 172.134, 0.157825
8, 1263.47, 149.267, 0.11814
8, 1242.8, 157.718, 0.126905
8, 1117.48, 165.426, 0.148035
8, 1119.53, 182.897, 0.163369
8, 1268.81, 156.707, 0.123507
8, 1174.52, 147.64, 0.125703
8, 1041.71, 157.583, 0.151274
8, 1173.32, 155.911, 0.13288
8, 970.209, 205.188, 0.211489
8, 1217.03, 154.273, 0.126761
8, 1158.59, 149.667, 0.129181
8, 1262.39, 190.073, 0.150567
8, 1223.89, 177.617, 0.145125
8, 1324.86, 142.574, 0.107615
8, 1284.25, 151.016, 0.117591
8, 1254.95, 147.568, 0.117588
8, 1223, 149.997, 0.122646
8, 1104.49, 178.688, 0.161783
8, 1107.95, 176.96, 0.159718
8, 1052.19, 177.851, 0.16903
8, 1133.99, 146.689, 0.129357
8, 1225.46, 163.097, 0.133091
8, 1300.3, 156.874, 0.120645
8, 1276.63, 178.756, 0.140022
8, 1089.15, 171.089, 0.157084
8, 1029.78, 150.099, 0.145758
8, 1273.37, 151.899, 0.119289
8, 1273, 148.725, 0.116831
8, 1267.71, 155.85, 0.122938
8, 1226.69, 149.827, 0.122139
8, 1134.28, 162.701, 0.143439
8, 1252.73, 149.731, 0.119523
8, 927.143, 168.543, 0.181787
8, 1043.88, 146.099, 0.139957
8, 1292.56, 151.605, 0.11729
8, 1285.9, 150.68, 0.117179
8, 1228.89, 146.358, 0.119097
8, 1248.6, 147.797, 0.11837
