size_1, gflops, gflops_mpi, speedup
2, 22.4368, 3.23022, 0.14397
2, 23.2426, 3.42012, 0.147149
2, 23.2789, 3.20643, 0.13774
4, 163.896, 26.1698, 0.159673
4, 159.969, 24.6352, 0.154
4, 162.585, 25.3315, 0.155805
6, 447.173, 88.0627, 0.196932
6, 465.958, 72.4117, 0.155404
6, 463.834, 84.7623, 0.182743
8, 823.934, 168.412, 0.2044
8, 915.619, 167.818, 0.183283
8, 885.984, 166.288, 0.187688
10, 1410.23, 298.188, 0.211446
10, 1426.13, 301.499, 0.21141
10, 1443.32, 356.498, 0.246998
12, 1891.48, 578.502, 0.305847
12, 1906.86, 552.629, 0.289811
12, 1914, 557.65, 0.291353
14, 2370, 852.552, 0.359727
14, 2331.35, 815.268, 0.349698
14, 2331.44, 797.539, 0.34208
16, 2608.67, 1175.51, 0.450616
16, 2725.76, 1221.01, 0.447954
16, 2461.6, 1247.36, 0.506726
18, 3004.23, 1628, 0.541902
18, 2871.38, 1652.78, 0.575604
18, 2990.72, 1654.41, 0.55318
20, 3316.48, 2129.37, 0.642057
20, 3305.62, 2118.84, 0.64098
20, 3323.13, 2134.03, 0.642175
22, 3504.23, 2611.19, 0.745156
22, 3475.76, 2528.64, 0.727508
22, 3510.61, 2551.07, 0.726673
24, 3818.73, 3265.77, 0.855199
24, 3801.03, 3180.16, 0.836659
24, 3825.09, 3207, 0.838413
26, 3994.94, 3636.39, 0.910249
26, 4023.24, 2537.67, 0.630752
26, 4011.89, 3611.28, 0.900144
28, 4120.96, 4167.45, 1.01128
28, 4115.26, 4183.71, 1.01663
28, 4123.03, 4239.3, 1.0282
30, 4229.71, 4559.04, 1.07786
30, 4215.22, 4605.4, 1.09256
30, 4177.83, 4534.06, 1.08527
32, 4271.1, 5141.14, 1.2037
32, 4255.11, 5135.61, 1.20693
32, 4304.87, 5108.39, 1.18665
34, 4407.3, 5430.65, 1.23219
34, 4362.96, 5341.25, 1.22423
34, 4005.98, 5467.84, 1.36492
36, 4436.36, 5790.46, 1.30523
36, 4442.32, 5839.34, 1.31448
36, 3617.39, 5785.3, 1.5993
38, 4502.04, 6132.79, 1.36222
38, 4500.34, 6107.87, 1.3572
38, 4485.02, 6008.2, 1.33962
40, 4507.36, 6382.4, 1.41599
40, 4482.83, 6448.19, 1.43842
40, 4498.99, 6385.4, 1.4193
42, 4528.33, 6552.45, 1.44699
42, 4551.76, 6532.98, 1.43526
42, 4549.29, 6630.28, 1.45743
44, 4540.26, 6834.94, 1.50541
44, 4555.51, 6854.06, 1.50456
44, 4543.79, 6833.68, 1.50396
46, 4610.08, 7042.99, 1.52774
46, 4640.14, 7090.95, 1.52818
46, 4105.93, 7054.48, 1.71812
48, 4606.96, 7270.75, 1.57821
48, 4647.59, 7256.55, 1.56136
48, 4623.68, 7240.55, 1.56597
50, 4621.51, 7317.08, 1.58327
50, 4633.52, 7249.86, 1.56466
50, 4612, 7335.25, 1.59047
52, 4636.67, 7375.89, 1.59077
52, 4235.84, 7403.45, 1.74781
52, 4641.29, 7362.72, 1.58635
54, 4626.25, 7439.72, 1.60815
54, 4637.87, 7451.2, 1.6066
54, 4628.56, 7456.16, 1.6109
56, 4628.18, 7581.56, 1.63813
56, 4620.12, 7540.08, 1.63201
56, 4625.8, 7627.69, 1.64894
58, 4627.85, 7497.65, 1.62012
58, 4620.15, 7478.48, 1.61866
58, 4626.69, 7514.96, 1.62426
60, 4653.69, 7713.24, 1.65745
60, 4652.34, 7720.97, 1.65959
60, 4643.94, 7689.96, 1.65592
62, 4650.32, 7730.68, 1.6624
62, 4653.51, 7715.64, 1.65803
62, 4663, 7710.16, 1.65347
64, 4638.84, 7739.09, 1.66833
64, 4635.56, 7782.94, 1.67896
64, 4636.73, 7766, 1.67489
66, 4673.04, 7800.87, 1.66933
66, 4648.41, 7780.64, 1.67383
66, 4675.51, 7783.24, 1.66468
68, 4674.01, 7811.65, 1.6713
68, 4660.18, 7895.54, 1.69426
68, 4660.52, 7880.2, 1.69084
70, 4659.32, 7883.24, 1.69193
70, 4670.4, 7914.27, 1.69456
70, 4513.79, 7871.93, 1.74397
72, 4544.51, 7815.15, 1.71969
72, 4672.16, 7977.93, 1.70755
72, 4268.8, 7933.03, 1.85838
74, 4659, 7860.42, 1.68715
74, 4669.56, 7702.29, 1.64947
74, 4548.01, 7711.94, 1.69568
76, 4533.91, 7574.32, 1.67059
76, 4657.1, 7698.69, 1.65311
76, 4657.88, 7512.11, 1.61278
78, 4583.43, 7820.71, 1.7063
78, 4665.17, 7834.72, 1.67941
78, 4085.53, 7273.92, 1.78041
80, 4580.36, 7660.65, 1.6725
80, 4683.54, 7219.5, 1.54146
80, 4542.01, 7767.84, 1.71022
82, 4526.7, 7667.69, 1.69388
82, 4594.65, 7675.88, 1.67061
82, 4425.82, 7645.89, 1.72756
84, 4650.02, 7844.38, 1.68696
84, 4532.5, 7790.87, 1.71889
84, 4526.14, 7791.58, 1.72146
86, 4570.2, 7718.95, 1.68898
86, 4588.63, 7776.22, 1.69467
86, 4468.32, 7532.77, 1.68582
88, 4560.72, 7578.62, 1.66172
88, 4438.44, 7568.25, 1.70516
88, 4575.87, 7618.33, 1.66489
90, 4548.07, 7707.16, 1.6946
90, 4590.16, 7743.27, 1.68693
90, 4585.53, 7680.9, 1.67503
92, 4526.2, 7694.78, 1.70005
92, 4535.06, 7578.94, 1.67119
92, 4500.79, 7679.36, 1.70622
94, 4566.66, 7314.53, 1.60172
94, 4526.48, 7329.28, 1.6192
94, 4543.37, 7357.74, 1.61945
96, 4545.39, 7490.65, 1.64797
96, 4533.13, 7523.89, 1.65976
96, 4565.48, 7454.23, 1.63274
98, 4552.81, 7213.99, 1.58451
98, 4392.08, 7126.14, 1.6225
98, 4547.5, 7151.34, 1.57259
100, 4539.72, 7504.47, 1.65307
100, 4523.8, 7536.13, 1.66588
100, 4500.92, 7519.85, 1.67073
102, 4513.95, 7322.84, 1.62227
102, 4518.68, 7303.54, 1.6163
102, 4463.96, 7246.78, 1.6234
104, 4432.27, 7411.79, 1.67223
104, 4525.58, 7448.71, 1.64591
104, 4478.95, 7434.47, 1.65987
106, 4422.74, 6627.58, 1.49852
106, 4292.43, 6678.27, 1.55582
106, 4295.64, 6667.29, 1.55211
108, 4490.48, 7186.32, 1.60035
108, 4414.92, 7210.03, 1.6331
108, 4503.31, 7159, 1.58972
110, 4305.51, 8284.5, 1.92416
110, 4492.45, 8296.91, 1.84686
110, 4482.38, 7806.23, 1.74154
112, 4438.22, 7242.71, 1.63189
112, 4465.77, 7262.23, 1.6262
