size_1, gflops, gflops_mpi, speedup
2, 43.022, 6.50368, 0.151171
2, 42.384, 6.45157, 0.152217
2, 44.4405, 7.09843, 0.159729
4, 306.793, 44.6636, 0.145582
4, 309.022, 43.7724, 0.141648
4, 327.03, 43.4835, 0.132965
6, 756.927, 161.337, 0.213147
6, 771.395, 142.74, 0.185041
6, 762.536, 128.531, 0.168558
8, 1248, 275.83, 0.221018
8, 1270.79, 285.238, 0.224457
8, 1289.68, 283.534, 0.219849
10, 1777.09, 491.472, 0.27656
10, 1812.24, 538.112, 0.296931
10, 1784.26, 472.071, 0.264575
12, 2258.8, 815.258, 0.360924
12, 2260.01, 832.755, 0.368474
12, 2303.72, 800.274, 0.347384
14, 2683.34, 1282.11, 0.477802
14, 2636.23, 1267.86, 0.480934
14, 2678.03, 1280.52, 0.478159
16, 2959.33, 1861.16, 0.628913
16, 2981.44, 1848.35, 0.619954
16, 2871.54, 1882.18, 0.65546
18, 3260.77, 2521.6, 0.773314
18, 3255.32, 2452.59, 0.753409
18, 3240.28, 2513.85, 0.775811
20, 3460.91, 3016.81, 0.871681
20, 3414.81, 3070.82, 0.899267
20, 3440.96, 3010.89, 0.875014
22, 3583.26, 3631.08, 1.01335
22, 3664.68, 3740.68, 1.02074
22, 3654.02, 3569.61, 0.9769
24, 4233.52, 4629.3, 1.09349
24, 4221.88, 4585.46, 1.08612
24, 4229.51, 4593.58, 1.08608
26, 4315.8, 5149.08, 1.19308
26, 4345.56, 5041.3, 1.16011
26, 4191.75, 5106.15, 1.21814
28, 4385.15, 5632.37, 1.28442
28, 4391.17, 5729.22, 1.30471
28, 4401.07, 5647.64, 1.28324
30, 4447.66, 6012.93, 1.35193
30, 4449.92, 6048.4, 1.35921
30, 4443.3, 6050.72, 1.36176
32, 4463.81, 6401.73, 1.43414
32, 4453.09, 6362.81, 1.42885
32, 4466.57, 6307.62, 1.41219
34, 4558.22, 6673.11, 1.46397
34, 4562.91, 6681.96, 1.46441
34, 4557.22, 6662.28, 1.46192
36, 4583.11, 6955.69, 1.51768
36, 4555.9, 6985.79, 1.53335
36, 4572.26, 6992.83, 1.5294
38, 4597.05, 7108.8, 1.54638
38, 4599.82, 7076.52, 1.53843
38, 4605.56, 7123.98, 1.54682
40, 4628.59, 7352.58, 1.58851
40, 4633.98, 7326.82, 1.58111
40, 4622.54, 7358.7, 1.59192
42, 4618.04, 7348.34, 1.59122
42, 4633.28, 7415.11, 1.6004
42, 4628.11, 7445.29, 1.60871
44, 4652.95, 7624.4, 1.63862
44, 4653.17, 7618.48, 1.63727
44, 4647.94, 7540.09, 1.62224
46, 4596.53, 7841.95, 1.70606
46, 4598.88, 7811.93, 1.69866
46, 4569.67, 7775.9, 1.70163
48, 4615.78, 6070.1, 1.31508
48, 4604.44, 7716.23, 1.67582
48, 4600.55, 7699.99, 1.67371
50, 4379.63, 7844.03, 1.79102
50, 4626.41, 7769.1, 1.6793
50, 4414.83, 7791.07, 1.76475
52, 4591.44, 7596.16, 1.65442
52, 4588.83, 7632.08, 1.66319
52, 4616.06, 7613.12, 1.64927
54, 4642.14, 7738.91, 1.6671
54, 4627.38, 7670.49, 1.65763
54, 4623.69, 7778.64, 1.68235
56, 4434.39, 7701.06, 1.73667
56, 4467.97, 7923, 1.77329
56, 4469.01, 7902.19, 1.76822
58, 4609.34, 7965.09, 1.72803
58, 4398.65, 7946.31, 1.80654
58, 4396.2, 7513.21, 1.70903
60, 4619.24, 8046.93, 1.74205
60, 4510.6, 7472.99, 1.65676
60, 4444.26, 7916.83, 1.78136
62, 4611.46, 7855.33, 1.70344
62, 4395.34, 7852.23, 1.78649
62, 4596.9, 8050.36, 1.75126
64, 4552.25, 7690.82, 1.68946
64, 4588.68, 7497.05, 1.63382
64, 4469.13, 7776.24, 1.73999
66, 4632.24, 7747.41, 1.6725
66, 4638.18, 7705.73, 1.66137
66, 4564.99, 7396.04, 1.62016
68, 4483.19, 7450.42, 1.66186
68, 4553.93, 7637.98, 1.67723
68, 4628.04, 7343.75, 1.5868
70, 4570.08, 7552.19, 1.65253
70, 4490.19, 7575.97, 1.68723
70, 4511.36, 7595.63, 1.68367
72, 4609.68, 7348.34, 1.59411
72, 4527.01, 7263.57, 1.6045
72, 4574.61, 7191.37, 1.57202
74, 4521.12, 7269.59, 1.60792
74, 4392.93, 7158.31, 1.62951
74, 4505.15, 7015.18, 1.55715
76, 4453.72, 7181.94, 1.61257
76, 4579.65, 7158.46, 1.5631
76, 4435.83, 6981.59, 1.57391
78, 4546.9, 7044.13, 1.54922
78, 4521.58, 7116.28, 1.57385
78, 4539.21, 7068.31, 1.55717
80, 4628.39, 8191.05, 1.76974
80, 4581.71, 8290.73, 1.80953
80, 4602.59, 8258.21, 1.79425
82, 4497.12, 6866.05, 1.52676
82, 4550.97, 6681.6, 1.46817
82, 4464.84, 6975.4, 1.5623
84, 4547.46, 7282.25, 1.60139
84, 4634.81, 7086.94, 1.52907
84, 4496.94, 7212.28, 1.60382
86, 4519.54, 7026.92, 1.55478
86, 4597.09, 7209.9, 1.56836
86, 4595.79, 7226.94, 1.57251
88, 4440.76, 7154.64, 1.61113
88, 4401.11, 7094.44, 1.61197
88, 4489.3, 7202.82, 1.60444
90, 4543.97, 7107.87, 1.56424
90, 4461.63, 7171.43, 1.60735
90, 4480.96, 7189.3, 1.60441
92, 4486.55, 7189.07, 1.60236
92, 4459.95, 7189.04, 1.61191
92, 4446.18, 7250.51, 1.63073
94, 4419.49, 6877.55, 1.55619
94, 4418.63, 6845.06, 1.54914
94, 4461.1, 6719.09, 1.50615
96, 4273.3, 6942.21, 1.62455
96, 4444.71, 6939.39, 1.56127
96, 4473.95, 6951.89, 1.55386
98, 4521.32, 7717.36, 1.70688
98, 4519.08, 7906.96, 1.74968
98, 4501.66, 7513.51, 1.66905
100, 4517.77, 8248.01, 1.82568
100, 4499.87, 8161.62, 1.81375
100, 4505.48, 8352.9, 1.85394
102, 4280.76, 6632.87, 1.54946
102, 4424.26, 6613.94, 1.49492
102, 4145.85, 6596.88, 1.5912
104, 4366.39, 6869.81, 1.57334
104, 4372.65, 6843.44, 1.56506
104, 4365.86, 6794.98, 1.55639
106, 4200.59, 6191.57, 1.47398
106, 4199.3, 6136.35, 1.46128
106, 4201.27, 6128.71, 1.45878
108, 4364.73, 6502.1, 1.48969
108, 4333.64, 6501.96, 1.50034
108, 4283.59, 6434.48, 1.50212
110, 4353.68, 8189.75, 1.88111
110, 4450.65, 8145.27, 1.83013
110, 4481.83, 8133.18, 1.8147
112, 4407.69, 7844.69, 1.77978
112, 4435.51, 7966.58, 1.79609
112, 4443.02, 8064.02, 1.81499
114, 4247.26, 6225.71, 1.46582
114, 4330.13, 6243.49, 1.44187
114, 4279.79, 6180.56, 1.44413
116, 4330.83, 6347.98, 1.46577
116, 4278.42, 6449.51, 1.50745
116, 4273.15, 6337.15, 1.48302
118, 4049.95, 5796.05, 1.43114
118, 4111.03, 5788.73, 1.4081
118, 4057.7, 5733.11, 1.4129
120, 4246.31, 6268.44, 1.47621
120, 4314.85, 6246.19, 1.4476
120, 4315.04, 6213.76, 1.44002
122, 4120.32, 5654.99, 1.37246
122, 4086.57, 5666.15, 1.38653
122, 4074.17, 5685.12, 1.3954
124, 4315.84, 6162.07, 1.42778
124, 4278.59, 6113.55, 1.42887
124, 4315.85, 6111.41, 1.41604
126, 4404.51, 8096.59, 1.83825
126, 4374.6, 7948.7, 1.81701
126, 4394.56, 8017.65, 1.82445
128, 4330.55, 6035.86, 1.39378
128, 4251.84, 5993.43, 1.40961
128, 4307.12, 6000.33, 1.39312
