size_1, gflops, gflops_mpi, speedup
2, 26.0807, 3.54423, 0.135895
2, 26.1165, 3.90228, 0.149418
2, 26.6335, 3.65278, 0.13715
4, 214.534, 29.4429, 0.137241
4, 206.014, 30.8459, 0.149727
4, 199.152, 27.7989, 0.139586
6, 583.284, 94.4537, 0.161934
6, 567.938, 90.9843, 0.160201
6, 602.836, 97.519, 0.161767
8, 1227.58, 217.75, 0.177381
8, 1177.98, 217.763, 0.184861
8, 1182.11, 213.007, 0.180192
10, 1823.38, 416.041, 0.22817
10, 1903.94, 389.166, 0.2044
10, 1828.59, 397.533, 0.217399
12, 2160.59, 708.829, 0.328071
12, 2209.1, 674.831, 0.305478
12, 2055.69, 584.951, 0.284553
14, 2692.43, 1001.5, 0.371967
14, 2808.24, 1009.77, 0.359576
14, 2812.33, 1033.6, 0.367525
16, 3168.32, 1367.46, 0.431605
16, 3196.17, 1429.43, 0.447233
16, 3130.59, 1401.33, 0.447625
18, 3396.22, 1872.55, 0.551364
18, 3415.85, 1867.85, 0.54682
18, 3447.59, 1828.88, 0.53048
20, 3694.2, 2405.11, 0.651049
20, 3762.11, 2347.58, 0.624006
20, 3780.89, 2357.47, 0.623522
22, 4056.58, 3012.03, 0.742505
22, 3995.83, 2967.57, 0.742666
22, 4031.61, 2925.62, 0.72567
24, 3503.93, 3112.76, 0.888362
24, 3463.9, 3207.66, 0.926028
24, 3547.93, 3091.59, 0.871377
26, 4129.66, 3941.84, 0.954519
26, 4136.3, 3980.91, 0.962431
26, 4172.67, 3959.68, 0.948954
28, 4155.62, 4439.12, 1.06822
28, 4120.36, 4456.77, 1.08165
28, 4099.26, 4466.31, 1.08954
30, 3906.19, 4841.16, 1.23936
30, 3886.1, 4818.71, 1.23999
30, 3697.45, 4816.89, 1.30276
32, 4149, 5320.64, 1.28239
32, 4170.28, 5280.63, 1.26625
32, 4183.32, 5262.35, 1.25794
34, 4358.14, 5469.53, 1.25501
34, 4368.56, 5427.55, 1.24241
34, 4353.75, 5388.78, 1.23773
36, 3941.21, 5798.7, 1.4713
36, 3946.86, 5750.31, 1.45693
36, 3964.23, 5751.25, 1.45079
38, 4360.66, 6024.79, 1.38162
38, 4385.04, 6108.9, 1.39312
38, 4394.49, 6073.87, 1.38216
40, 4036.43, 6247.68, 1.54782
40, 4041.12, 6256.7, 1.54826
40, 4035.04, 6265.93, 1.55288
42, 4183, 5827.58, 1.39316
42, 4091.2, 5742.76, 1.40368
42, 4170.82, 5825.79, 1.3968
44, 4351.55, 6375.13, 1.46502
44, 4371.75, 6635.94, 1.51791
44, 4358.83, 6637.02, 1.52266
46, 4489.52, 6994.89, 1.55805
46, 4459.7, 7007.95, 1.57139
46, 4481.73, 6963.61, 1.55378
48, 4141.14, 6818.06, 1.64642
48, 4194.77, 6798.76, 1.62077
48, 4217.66, 6779.94, 1.60751
50, 4406.42, 6615.8, 1.5014
50, 4422.14, 6296.92, 1.42395
50, 4385.9, 6626.33, 1.51082
52, 4489.8, 7129.91, 1.58802
52, 4478.16, 7078.17, 1.5806
52, 4526.73, 7084.94, 1.56513
54, 4248.77, 6968.25, 1.64006
54, 4233.37, 6881.22, 1.62547
54, 4219.32, 6885.61, 1.63192
56, 4198.57, 6377, 1.51885
56, 4196.02, 7027.59, 1.67482
56, 4223.61, 7015.33, 1.66098
58, 4478.44, 7161.23, 1.59905
58, 4478.06, 7140.64, 1.59458
58, 4494.31, 7067.25, 1.57249
60, 4294.01, 7187.29, 1.67379
60, 4303.42, 7180.38, 1.66853
60, 4236.52, 7221.9, 1.70468
62, 4451.88, 7047.64, 1.58307
62, 4449.54, 7122.62, 1.60075
62, 4456.5, 7107.21, 1.59479
64, 4251.75, 7237.19, 1.70217
64, 4231.68, 7268.01, 1.71752
64, 4235.7, 7249.67, 1.71156
66, 4317.57, 7230.67, 1.67471
66, 4384.59, 7002.91, 1.59716
66, 4390.81, 7205.63, 1.64107
68, 4444.99, 6979.9, 1.57029
68, 4329.99, 6947.36, 1.60447
68, 4425.92, 6999.17, 1.58141
70, 4653.44, 7000.98, 1.50447
70, 4527.51, 7781.15, 1.71864
70, 4652.97, 7893.31, 1.6964
72, 3881.75, 6950.04, 1.79044
72, 3863.2, 7002.82, 1.8127
72, 3873.58, 6960.02, 1.79679
74, 4002.17, 6891.96, 1.72205
74, 4000.87, 6923.01, 1.73038
74, 3997.77, 6895.88, 1.72493
76, 3977.5, 6945.5, 1.7462
76, 3915.91, 6852.39, 1.74989
76, 3863.39, 6964.97, 1.80281
78, 4185.87, 6886.8, 1.64525
78, 4201.47, 6899.02, 1.64205
78, 4089.2, 6904.8, 1.68854
80, 4337.73, 7392.11, 1.70414
80, 4319.23, 7425.63, 1.7192
80, 4260.09, 7440.61, 1.74658
82, 4354.01, 6701.51, 1.53916
82, 4374.64, 6721.98, 1.53658
82, 4310.49, 6763.69, 1.56912
84, 4133.87, 7519.15, 1.81891
84, 4239.61, 7513.67, 1.77225
84, 4243.39, 7492.77, 1.76575
86, 4609.83, 6711.61, 1.45593
86, 4464.72, 6703.23, 1.50138
86, 4438.85, 6700.81, 1.50958
88, 3981.22, 6658.9, 1.67258
88, 3713.87, 6691.81, 1.80184
88, 3981.89, 6604.15, 1.65855
90, 4458.08, 7723.13, 1.73239
90, 4298.32, 7549.8, 1.75645
90, 4436.93, 7775.12, 1.75237
92, 4399.81, 7170.95, 1.62983
92, 4360.85, 7133.51, 1.63581
92, 4445.24, 7438.62, 1.67339
94, 4232.22, 6526.12, 1.54201
94, 4173.66, 6547.77, 1.56883
94, 4197.26, 6527.43, 1.55516
96, 3891.37, 6985.14, 1.79503
96, 3892.21, 7004.97, 1.79974
96, 3781.36, 6997.28, 1.85047
98, 4360.52, 7060.75, 1.61925
98, 4358.64, 6979.76, 1.60136
98, 4241.21, 7137.46, 1.68288
100, 4464.61, 7397.21, 1.65686
100, 4380.45, 7878.31, 1.79852
100, 4361, 7933.03, 1.81908
102, 4061.71, 7059.23, 1.738
102, 4074.57, 7061.54, 1.73307
102, 4085.35, 7142.45, 1.74831
104, 4523.4, 7915.99, 1.75001
104, 4404.99, 7667.2, 1.74057
104, 4484.55, 7787.28, 1.73647
106, 4100.32, 6460.38, 1.57558
106, 4121.49, 6318.25, 1.533
106, 4109.08, 6397.04, 1.55681
108, 4164.67, 7174.96, 1.72281
108, 4260.07, 7393.06, 1.73543
108, 4185.05, 7369.72, 1.76097
110, 4458.14, 7728.66, 1.73361
110, 4436.33, 7655.05, 1.72554
110, 4361.64, 7789.23, 1.78585
112, 4225.58, 7799.08, 1.84568
112, 4199.41, 7622.26, 1.81508
112, 4208.87, 7794.14, 1.85184
114, 4444.3, 7323.77, 1.6479
114, 4403.19, 7470.41, 1.69659
114, 4388.61, 7267.96, 1.6561
116, 4255.08, 7352.78, 1.728
116, 4425.71, 7227.29, 1.63303
116, 4294.99, 7387.44, 1.72001
118, 4285.55, 6309.24, 1.47221
118, 4434.36, 6363.83, 1.43512
118, 4351.75, 6361.35, 1.46179
120, 4426.15, 7373, 1.66578
120, 4449.53, 7247, 1.62871
120, 4439.58, 7370.91, 1.66027
122, 4378.92, 6289.17, 1.43624
122, 4357.58, 6325.24, 1.45155
122, 4458.05, 6323.54, 1.41846
124, 4411.75, 7092.71, 1.60769
124, 4253.2, 7212.65, 1.69582
124, 4347.42, 6987.65, 1.60731
126, 4073.12, 6896.68, 1.69322
126, 4051.9, 7215.61, 1.7808
126, 4145.97, 7114.51, 1.71601
128, 4212.89, 7576.13, 1.79832
128, 4217.87, 7306.95, 1.73238
128, 4050.98, 7558.02, 1.86572
