size_1, gflops, gflops_mpi, speedup
2, 24.1288, 3.70702, 0.153635
2, 24.4695, 3.61041, 0.147547
2, 25.3054, 3.58075, 0.141501
4, 207.494, 27.7337, 0.13366
4, 197.39, 28.1566, 0.142645
4, 208.361, 26.3809, 0.126612
6, 554.906, 89.9015, 0.162012
6, 553.447, 91.7868, 0.165846
6, 575.062, 85.7996, 0.149201
8, 1242.59, 199.742, 0.160746
8, 1223.89, 202.4, 0.165375
8, 1186.07, 204.784, 0.172659
10, 1772.72, 429.287, 0.242163
10, 1766.37, 379.521, 0.21486
10, 1779.63, 393.184, 0.220936
12, 2085.54, 579.71, 0.277966
12, 2095.57, 618.275, 0.295039
12, 2087.13, 630.439, 0.30206
14, 2697.86, 988.571, 0.366428
14, 2836.61, 963.294, 0.339594
14, 2739.06, 977.556, 0.356894
16, 3048.06, 1361.82, 0.446783
16, 3022.1, 1405.48, 0.465068
16, 3069.32, 1434.84, 0.467479
18, 3437.21, 1811.35, 0.526983
18, 3403.39, 1791.2, 0.5263
18, 3247.71, 1849.84, 0.569582
20, 3742.86, 2263.75, 0.604818
20, 3651.14, 2377.93, 0.651284
20, 3667.58, 2326.97, 0.63447
22, 4042.36, 2886.77, 0.714131
22, 4016.08, 2957.13, 0.736323
22, 4059.86, 2859.42, 0.704314
24, 3506.79, 3051.41, 0.870145
24, 3465.8, 2963.4, 0.855042
24, 3531.17, 3100.14, 0.877936
26, 4146.34, 3897.7, 0.940035
26, 4126.32, 3965.49, 0.961024
26, 4135.24, 3938.65, 0.95246
28, 4109.85, 4414.51, 1.07413
28, 4054.34, 4237.12, 1.04508
28, 4121.44, 4313.93, 1.0467
30, 3912.84, 4721.78, 1.20674
30, 3907.9, 4719.51, 1.20768
30, 3877.62, 4700.63, 1.21225
32, 4170.14, 5216.05, 1.25081
32, 4154.32, 5345.71, 1.28678
32, 4155.51, 5265.94, 1.26722
34, 4365.19, 5490.41, 1.25777
34, 4391.47, 5430.72, 1.23665
34, 4357.08, 5392.02, 1.23753
36, 3949.75, 5730.87, 1.45095
36, 3943.72, 5720.43, 1.45052
36, 3924.95, 5767.77, 1.46951
38, 4338.91, 6065.93, 1.39803
38, 4399.89, 6040.36, 1.37285
38, 4375.18, 6051.6, 1.38317
40, 4036.25, 6200.32, 1.53616
40, 4083.8, 6147.19, 1.50526
40, 4050.09, 6214.6, 1.53444
42, 4180.35, 5752.17, 1.376
42, 4188.88, 5815.89, 1.38841
42, 4151.34, 5813.46, 1.40038
44, 4368.27, 6617.03, 1.51479
44, 4339.26, 6615.13, 1.52448
44, 4358.52, 6555.58, 1.50408
46, 4477.19, 6940.21, 1.55013
46, 4502.18, 7021.64, 1.55961
46, 4506.68, 6975.35, 1.54778
48, 4219.63, 6783.74, 1.60766
48, 4227.59, 6800.9, 1.60869
48, 4151.87, 6741.65, 1.62376
50, 4409.34, 6679.15, 1.51477
50, 4093.78, 6709.27, 1.63889
50, 4422.07, 6591.54, 1.4906
52, 4522.85, 7143.36, 1.57939
52, 4533.61, 7150.74, 1.57727
52, 4521.89, 7107.5, 1.5718
54, 3987.45, 6999.76, 1.75545
54, 4209.66, 6999.98, 1.66284
54, 4251.56, 7014.11, 1.64977
56, 4198.11, 7067.03, 1.68338
56, 4204.62, 7029.54, 1.67186
56, 4213.53, 7072.96, 1.67863
58, 4474.46, 7233.65, 1.61665
58, 4489.94, 7172.89, 1.59755
58, 4491.98, 7080.63, 1.57628
60, 4311.01, 7254.16, 1.68271
60, 4307.52, 7250.03, 1.68311
60, 4302.59, 7231.72, 1.68078
62, 4467.32, 6980.66, 1.56261
62, 4454.46, 7151.58, 1.60549
62, 4459.83, 7143.16, 1.60167
64, 4252.68, 7280.26, 1.71192
64, 4231.14, 7240.88, 1.71133
64, 4240.73, 7237.49, 1.70666
66, 4389.53, 7280.3, 1.65856
