size_1, gflops, gflops_mpi, speedup
2, 25.3878, 0.579317, 0.0228187
2, 24.7681, 0.60521, 0.024435
2, 25.7055, 0.608708, 0.0236801
2, 26.2263, 0.629704, 0.0240104
2, 26.0907, 0.596931, 0.0228791
2, 26.4835, 0.619744, 0.0234011
2, 25.2644, 0.589499, 0.0233332
2, 25.001, 0.620804, 0.0248312
2, 26.5717, 0.573459, 0.0215816
2, 25.598, 0.588163, 0.0229769
2, 25.0631, 0.619459, 0.0247159
2, 26.1285, 0.621339, 0.0237801
2, 25.9682, 0.62307, 0.0239936
2, 26.0629, 0.634937, 0.0243617
2, 27.2839, 0.628324, 0.0230291
2, 24.8058, 0.619785, 0.0249855
2, 25.7731, 0.625841, 0.0242828
2, 25.4386, 0.613844, 0.0241304
2, 24.3238, 0.624138, 0.0256596
2, 27.0175, 0.633285, 0.0234398
2, 26.3857, 0.626971, 0.0237618
2, 25.482, 0.632125, 0.0248067
2, 25.3128, 0.611932, 0.0241748
2, 25.5523, 0.628512, 0.024597
2, 24.4818, 0.629672, 0.02572
2, 25.179, 0.627998, 0.0249413
2, 25.5981, 0.655449, 0.0256054
2, 25.8898, 0.634767, 0.024518
2, 23.9101, 0.62076, 0.0259623
2, 26.4753, 0.609382, 0.023017
2, 25.8547, 0.639415, 0.0247311
2, 26.6937, 0.618185, 0.0231584
2, 26.4386, 0.621737, 0.0235163
2, 26.0313, 0.644028, 0.0247406
2, 26.4671, 0.622022, 0.0235017
2, 25.6172, 0.611521, 0.0238715
2, 23.8469, 0.596745, 0.025024
2, 24.736, 0.603685, 0.0244051
2, 25.4292, 0.598241, 0.0235258
2, 25.1643, 0.614555, 0.0244217
2, 26.1523, 0.618951, 0.0236672
2, 25.2774, 0.635233, 0.0251305
2, 26.0115, 0.620152, 0.0238414
2, 26.4631, 0.635737, 0.0240236
2, 26.3593, 0.60839, 0.0230806
2, 26.2584, 0.622158, 0.0236937
2, 25.098, 0.639083, 0.0254635
2, 26.8043, 0.617359, 0.0230321
2, 25.667, 0.595337, 0.0231946
2, 26.1683, 0.616262, 0.02355
2, 26.5347, 0.610939, 0.0230241
2, 26.1823, 0.62784, 0.0239796
2, 25.5599, 0.618017, 0.0241792
2, 26.6419, 0.616398, 0.0231364
2, 24.9956, 0.604287, 0.0241758
2, 26.1603, 0.618419, 0.0236396
2, 25.7634, 0.63401, 0.024609
2, 26.6047, 0.601023, 0.0225909
2, 25.4291, 0.622981, 0.0244987
