size_1, gflops, gflops_mpi, speedup
2, 85.6445, 1.83343, 0.0214075
2, 71.2138, 1.90448, 0.0267431
2, 81.9218, 1.93935, 0.0236732
4, 548.79, 14.6803, 0.0267504
4, 618.081, 14.0973, 0.0228082
4, 505.881, 16.5038, 0.0326238
6, 1283.96, 50.0813, 0.0390054
6, 1095.47, 50.5882, 0.0461795
6, 1063.91, 49.9442, 0.0469439
8, 2038.72, 94.4209, 0.0463137
8, 1623.18, 93.9892, 0.0579045
8, 1888.67, 107.63, 0.0569871
10, 2477.11, 161.37, 0.0651446
10, 2363.67, 154.569, 0.0653937
10, 2415.84, 171.982, 0.0711894
12, 3043.52, 271.927, 0.0893463
12, 2346.81, 264.831, 0.112847
12, 2329.02, 275.259, 0.118186
14, 2898.29, 400.734, 0.138266
14, 3148.69, 418.985, 0.133066
14, 2966.04, 469.838, 0.158406
16, 3239.72, 576.425, 0.177925
16, 3024.4, 567.599, 0.187673
16, 2980.77, 562.578, 0.188736
18, 3523.87, 862.482, 0.244754
18, 3319, 933.981, 0.281405
18, 3597.41, 892.797, 0.248178
20, 3649.17, 1000.65, 0.274212
20, 3993.17, 986.165, 0.246963
20, 3187.89, 1135.54, 0.356206
22, 3642.86, 1327.95, 0.364536
22, 4023.24, 1280.41, 0.318254
22, 3871.07, 1273.89, 0.329079
24, 3915.68, 1492.7, 0.381211
24, 3570.87, 1488.95, 0.416971
24, 3789.81, 1564.03, 0.412695
26, 4012.29, 1814.18, 0.452155
26, 3609.57, 1779.07, 0.492877
26, 3756.32, 1749.84, 0.465838
28, 3840.73, 1934.88, 0.50378
28, 3770.73, 1951.55, 0.517553
28, 3888.41, 1918.63, 0.493423
30, 3765.98, 2351, 0.624271
30, 3918.66, 2236.36, 0.570694
30, 3898.51, 2294.88, 0.588656
32, 3657.24, 2625.88, 0.717995
32, 3718.84, 2723.69, 0.732402
32, 4222.93, 2541.78, 0.6019
34, 4155.49, 2762.89, 0.664876
34, 3953.85, 1587.88, 0.401603
34, 3849.47, 1650.22, 0.428688
36, 4044.29, 1642.66, 0.406169
36, 3982.19, 3232.64, 0.811774
36, 4013.52, 3157.35, 0.786677
38, 4116.4, 2417.94, 0.587393
38, 4199.75, 1836.07, 0.437186
38, 4123.8, 3370.88, 0.817419
40, 4249.64, 3757, 0.884075
40, 4132.73, 3486.45, 0.843618
40, 4134.43, 3704.5, 0.896012
42, 4276.19, 3598.19, 0.841448
42, 4403.7, 3657.17, 0.830476
42, 4268.17, 4116.21, 0.964397
44, 3872.98, 4081.65, 1.05388
44, 3959.02, 4253.41, 1.07436
44, 3844.23, 3244.96, 0.844113
46, 4062.8, 4002.67, 0.985199
46, 3995.62, 4389.71, 1.09863
46, 4124.19, 3839.16, 0.930887
48, 4303.1, 2557.85, 0.59442
48, 4296.27, 2949.49, 0.686523
48, 4317.46, 2788.75, 0.645923
50, 4369.06, 2682.72, 0.614027
50, 4426.59, 3738.03, 0.84445
50, 4422.78, 2506.26, 0.56667
52, 4551.93, 3092.42, 0.679365
52, 4543.11, 3357.75, 0.739086
52, 4472.97, 2713.29, 0.606596
54, 4132.95, 3600.34, 0.871131
54, 4096.43, 3252.61, 0.794011
54, 4156.8, 2828.3, 0.680402
56, 4257.32, 2635.46, 0.619041
56, 4215.81, 3142.73, 0.745462
56, 4223.85, 3742.22, 0.885973
58, 4411.74, 2707.96, 0.613807
58, 4398.26, 2571.57, 0.58468
58, 4315.59, 2675.93, 0.620061
60, 4558.2, 3221.07, 0.706654
60, 4420.5, 2403.52, 0.543721
60, 4467.2, 2900.91, 0.649379
62, 4245.76, 2589.72, 0.609956
62, 4200.55, 2405.16, 0.572581
62, 4153.15, 2517.09, 0.606066
64, 4293.85, 2956.24, 0.688484
64, 4283.13, 2711.52, 0.633069
64, 4305.99, 2896.16, 0.672589
66, 4395.06, 3056.01, 0.695328
66, 4340.92, 3010.47, 0.693509
66, 4380.61, 2347.97, 0.535991
68, 4442.88, 3603.42, 0.811056
68, 4519.74, 3041.35, 0.672902
68, 4506.84, 3685.29, 0.817709
70, 4622.87, 2971.22, 0.642722
70, 4511.6, 3933.07, 0.871769
70, 4601.75, 3027.43, 0.657886
72, 3870.69, 2720.53, 0.702856
72, 3911.97, 2507.17, 0.640897
72, 3907.53, 2956.19, 0.756536
74, 4337.18, 2517.31, 0.580402
74, 4235.52, 2934.47, 0.692824
74, 4328.86, 4901.43, 1.13227
76, 4055.75, 3273.16, 0.807042
76, 4011.21, 3601.95, 0.897971
76, 4004.3, 3482.18, 0.86961
78, 4506.17, 3751.89, 0.832613
