size_1, gflops, gflops_mpi, speedup
2, 21.7759, 0.575545, 0.0264304
2, 25.1164, 0.612455, 0.0243847
2, 23.8668, 0.607021, 0.0254336
4, 193.534, 5.00515, 0.0258619
4, 179.706, 4.65443, 0.0259003
4, 204.555, 4.94591, 0.0241789
6, 537.734, 16.2531, 0.0302252
6, 537.079, 16.4288, 0.0305892
6, 542.521, 16.5668, 0.0305367
8, 890.981, 37.7464, 0.042365
8, 1201.32, 38.0912, 0.0317079
8, 1200.73, 38.493, 0.0320581
10, 1816.81, 73.5093, 0.0404606
10, 1648.85, 74.7361, 0.0453261
10, 1327.82, 72.0399, 0.0542541
12, 2076.37, 122.727, 0.0591065
12, 1831.9, 123.55, 0.0674438
12, 2025.06, 121.203, 0.0598512
14, 2278.88, 173.412, 0.0760953
14, 2698.36, 171.583, 0.063588
14, 2531.5, 149.274, 0.0589665
16, 2118.37, 207.19, 0.0978066
16, 3050.92, 210.325, 0.0689382
16, 2973.74, 211.74, 0.0712032
18, 3258.88, 324.01, 0.0994238
18, 3242.15, 291.448, 0.0898935
18, 3083.36, 326.257, 0.105812
20, 2706.55, 454.057, 0.167762
20, 3755.11, 451.745, 0.120301
20, 3611.02, 428.468, 0.118656
22, 3694.2, 574.964, 0.155639
22, 3885.21, 441.299, 0.113584
22, 3753.18, 590.199, 0.157253
24, 3503.16, 649.252, 0.185333
24, 2661.66, 679.251, 0.255198
24, 3177.2, 678.119, 0.213433
26, 3097.28, 901.369, 0.29102
26, 3834.17, 666.031, 0.173709
26, 3953.28, 881.534, 0.222988
28, 3972.98, 1134.64, 0.28559
28, 4100.42, 898.263, 0.219066
28, 4124.5, 1024.65, 0.24843
30, 3803.03, 1104.77, 0.290496
30, 3660.16, 1194.75, 0.326421
30, 3835.73, 1207.49, 0.314801
32, 4189.7, 1562.04, 0.372829
32, 4200.41, 1547.95, 0.368523
32, 3486.64, 1316.95, 0.377712
34, 3581.63, 1366.26, 0.381463
34, 4177.39, 1395.76, 0.334123
34, 4152.31, 1357.63, 0.326957
36, 3955.77, 1648.36, 0.416698
36, 3962.75, 1708.21, 0.431068
36, 3929.42, 1663.79, 0.423419
38, 4278.67, 1724.93, 0.403146
38, 3611.04, 1787.85, 0.495106
38, 4384.63, 1966.48, 0.448494
40, 3429.35, 2183.82, 0.636802
40, 4057.25, 2170.91, 0.535069
40, 4066.09, 2190.03, 0.538608
42, 4142.4, 2124.44, 0.512851
42, 4158.7, 2265.63, 0.544793
42, 4098.37, 2250.42, 0.549101
44, 3743.6, 2278.12, 0.608538
44, 4118.75, 2538.28, 0.616272
44, 4360.59, 2537.12, 0.581828
46, 4522.45, 2844.38, 0.628947
46, 4065.97, 2699.47, 0.663918
46, 3881.44, 2636.84, 0.679347
48, 4171.64, 3022.04, 0.724424
48, 4139.95, 2852.54, 0.689027
48, 4228.39, 3007.32, 0.711221
50, 3922.88, 3295.65, 0.840108
50, 4203.16, 3069.37, 0.730253
50, 4389.22, 2989.54, 0.68111
52, 4142.24, 2991.27, 0.722139
52, 4086.69, 3535.9, 0.865222
52, 4473.75, 3080.39, 0.688548
54, 4236.8, 3422.7, 0.80785
54, 4145.9, 3623.82, 0.874071
54, 4246.08, 3584.12, 0.844102
56, 3949.31, 3680.43, 0.931916
56, 4227.16, 3309.74, 0.78297
