size_1, gflops, gflops_mpi, speedup
2, 22.9718, 0.5745, 0.025009
2, 22.1987, 0.576448, 0.0259676
2, 22.6936, 0.56309, 0.0248127
4, 179.789, 3.72695, 0.0207297
4, 186.054, 3.4612, 0.0186032
4, 159.783, 3.49791, 0.0218916
6, 448.428, 13.7958, 0.0307647
6, 448.298, 13.7667, 0.0307089
6, 454.479, 12.6726, 0.0278839
8, 848.061, 26.1961, 0.0308895
8, 857.033, 28.4304, 0.033173
8, 858.171, 30.7982, 0.0358882
10, 1333.94, 50.1607, 0.0376035
10, 1292.21, 55.2641, 0.0427672
10, 1382.68, 47.6748, 0.0344801
12, 1840.45, 91.8098, 0.0498844
12, 1824.86, 96.3048, 0.0527739
12, 1836.48, 94.6493, 0.0515384
14, 2327.34, 136.359, 0.0585903
14, 2250.41, 132.312, 0.0587944
14, 2356.52, 136.022, 0.0577217
16, 2433.87, 200.305, 0.0822988
16, 2641.23, 181.155, 0.0685875
16, 2605.76, 200.495, 0.0769428
18, 2868.55, 292.129, 0.101839
18, 2980.35, 291.342, 0.0977543
18, 3052.01, 298.273, 0.09773
20, 3165.53, 349.565, 0.110429
20, 3208.83, 359.507, 0.112037
20, 3185.05, 339.975, 0.106741
22, 3513.67, 420.282, 0.119613
22, 3507.78, 419.625, 0.119627
22, 3453.18, 472.18, 0.136738
24, 3721.18, 609.712, 0.163849
24, 3815.93, 539.712, 0.141437
24, 3709, 616.869, 0.166317
26, 3937.13, 748.541, 0.190124
26, 3959.7, 629.413, 0.158955
26, 3846.48, 756.927, 0.196784
28, 3996.33, 798.992, 0.199932
28, 4091.17, 789.064, 0.19287
28, 4063.54, 794.578, 0.195538
30, 4187.17, 899.111, 0.21473
30, 4158.32, 989.205, 0.237886
30, 4158.74, 900.142, 0.216446
32, 4136.56, 1146.93, 0.277267
32, 4226.63, 1053.97, 0.249365
32, 4234.91, 1012.25, 0.239025
34, 3405.7, 1214.43, 0.356587
34, 4287.25, 1437.9, 0.335389
34, 4366.32, 1229.11, 0.281499
36, 4327.46, 1335.58, 0.308629
36, 4428.35, 1552.69, 0.350624
36, 4322.01, 1561.83, 0.361367
38, 4438.27, 1802.6, 0.406149
38, 4388.74, 1824.62, 0.415751
38, 4211.27, 1632.79, 0.387719
40, 4389.73, 1901.21, 0.433104
40, 4403.41, 1851.02, 0.420361
40, 4459.14, 1923.24, 0.431304
42, 4371.48, 1869.04, 0.427554
42, 4484.83, 1911.56, 0.426227
42, 4246.44, 1929.86, 0.454465
44, 4528.84, 2354.77, 0.519951
44, 4351.14, 2245.86, 0.516155
44, 4450.61, 2611.44, 0.586761
46, 4602.12, 2506.33, 0.544602
46, 4559.09, 2742.77, 0.601605
46, 4584.39, 2436.58, 0.531494
48, 4620.8, 2326.4, 0.503463
48, 4490.73, 2596.11, 0.578104
48, 4612.1, 2709.45, 0.587465
50, 4591.28, 2680.77, 0.583882
50, 4452.55, 3054.13, 0.685929
50, 4596.56, 2930.69, 0.637583
52, 4603.87, 2972.33, 0.645614
52, 4630.89, 2729.35, 0.589379
52, 4632.69, 3323.69, 0.717442
54, 4618.88, 3258.57, 0.705488
