size_1, gflops, gflops_mpi, speedup
2, 25.5333, 0.950954, 0.0372437
2, 25.3559, 1.01413, 0.0399959
2, 24.8363, 0.963385, 0.0387894
2, 25.8235, 1.02273, 0.0396046
2, 27.406, 1.07678, 0.03929
2, 25.9388, 1.02585, 0.0395489
2, 26.2806, 1.05516, 0.0401496
2, 25.8196, 0.996436, 0.0385922
2, 25.1237, 1.00361, 0.0399466
2, 24.9374, 1.03969, 0.041692
2, 24.7164, 0.964707, 0.0390311
2, 22.9549, 1.04683, 0.0456038
2, 26.1643, 1.03194, 0.0394409
2, 26.506, 1.03474, 0.0390379
2, 26.2223, 1.0411, 0.0397028
2, 27.2298, 1.05269, 0.0386594
2, 24.5097, 0.981779, 0.0400567
2, 25.1717, 0.991456, 0.0393878
2, 24.9012, 1.01086, 0.0405949
2, 26.6439, 1.01929, 0.0382559
2, 26.6522, 0.999179, 0.0374895
2, 25.7808, 1.02217, 0.0396486
2, 25.416, 1.0138, 0.0398882
2, 23.7528, 0.811407, 0.0341605
2, 25.3277, 1.02492, 0.0404664
2, 25.8781, 1.02783, 0.0397181
2, 25.3484, 1.00202, 0.03953
2, 25.2272, 1.00131, 0.0396918
2, 26.4264, 1.0379, 0.039275
2, 25.7074, 1.01001, 0.0392888
2, 26.8483, 1.02733, 0.0382642
2, 25.7615, 1.06021, 0.0411549
2, 26.1444, 1.00562, 0.0384641
2, 25.1108, 1.02538, 0.0408342
2, 24.9247, 1.04826, 0.0420569
2, 25.719, 1.02806, 0.0399727
2, 26.2163, 1.00287, 0.0382535
2, 25.927, 1.02427, 0.039506
2, 24.5167, 0.97186, 0.0396406
2, 25.8002, 0.986041, 0.0382183
2, 24.7842, 1.04112, 0.0420072
2, 26.6584, 1.0422, 0.0390947
2, 26.4978, 1.0245, 0.0386635
2, 26.5491, 1.01032, 0.0380549
2, 27.8873, 1.07066, 0.0383925
2, 25.843, 1.06337, 0.0411472
2, 25.7886, 0.981993, 0.0380786
2, 25.5694, 1.00285, 0.0392208
2, 25.0211, 0.983998, 0.0393268
2, 23.5862, 1.00044, 0.0424162
2, 25.2235, 1.01956, 0.0404212
2, 25.0778, 1.05044, 0.0418874
2, 27.0729, 1.04201, 0.0384889
2, 25.4934, 1.04, 0.0407948
2, 26.5162, 1.00009, 0.0377163
2, 26.8883, 0.985984, 0.0366696
2, 24.5677, 1.01603, 0.0413563
2, 24.6118, 1.03296, 0.04197
2, 25.0961, 1.01857, 0.0405865
2, 25.065, 1.05349, 0.0420303
2, 25.7267, 1.04734, 0.0407101
2, 26.9327, 1.02388, 0.0380164
2, 25.7267, 1.07452, 0.0417666
2, 26.8883, 1.02679, 0.0381874
2, 25.5942, 1.01396, 0.0396168
2, 25.6728, 1.04485, 0.0406989
2, 25.7712, 1.03826, 0.0402877
2, 25.1864, 1.02909, 0.0408587
2, 27.1072, 1.03122, 0.0380425
2, 24.8129, 1.02397, 0.0412678
2, 26.3837, 1.0269, 0.038922
2, 25.7209, 1.01973, 0.0396461
2, 25.9603, 1.05265, 0.0405484
2, 26.545, 1.03131, 0.0388515
2, 24.7574, 1.06421, 0.0429855
2, 26.6522, 1.00576, 0.0377364
2, 25.642, 1.01412, 0.039549
2, 26.7582, 1.07095, 0.0400233
2, 27.0345, 1.02749, 0.0380064
2, 26.4019, 1.0231, 0.0387509
2, 25.2551, 1.05137, 0.0416302
2, 24.9901, 1.0185, 0.0407563
2, 26.1823, 0.976956, 0.0373136
2, 25.2012, 0.978455, 0.0388257
2, 25.806, 1.02198, 0.0396025
2, 25.087, 1.01356, 0.0404017
2, 24.7807, 0.949304, 0.0383083
2, 24.3152, 0.977114, 0.0401853
2, 25.8742, 0.997572, 0.0385547
2, 24.6153, 0.994174, 0.0403885
2, 25.7769, 1.02841, 0.0398965
2, 25.4254, 1.05154, 0.0413579
2, 24.9139, 1.00462, 0.0403239
2, 26.3695, 1.0064, 0.0381653
2, 25.6306, 1.00429, 0.0391832
2, 26.4753, 1.0335, 0.0390362
2, 25.1882, 1.04208, 0.0413715
2, 25.8449, 1.06674, 0.0412746
2, 24.0307, 1.00169, 0.041684
2, 26.0887, 1.04883, 0.0402027
4, 199.34, 8.29044, 0.0415895
4, 196.331, 8.29398, 0.0422449
4, 196.274, 8.45891, 0.0430974
4, 204.16, 8.0125, 0.0392462
4, 200.946, 8.14115, 0.0405142
