size_1, gflops, gflops_mpi, speedup
2, 89.3337, 3.29278, 0.0368593
2, 88.2168, 3.5567, 0.0403177
2, 88.6987, 3.62393, 0.0408566
4, 666.128, 28.1768, 0.0422995
4, 627.267, 27.8833, 0.0444521
4, 634.571, 28.8899, 0.0455266
6, 1325.41, 95.2228, 0.071844
6, 1297.73, 79.7553, 0.0614574
6, 1374.88, 93.7787, 0.0682084
8, 2378.35, 187.568, 0.0788649
8, 2297.95, 211.65, 0.0921036
8, 2335.15, 209.276, 0.08962
10, 3069.99, 362.433, 0.118057
10, 3142.31, 356.06, 0.113311
10, 3070.75, 396.472, 0.129112
12, 3215.89, 635.053, 0.197474
12, 3206.99, 623.46, 0.194407
12, 3262.14, 9.84482, 0.0030179
14, 3822.04, 938.63, 0.245583
14, 3857.58, 980.207, 0.254099
14, 3844.08, 912.594, 0.237402
16, 3996.77, 1215.73, 0.304178
16, 3994.48, 1230.66, 0.308089
16, 3982.09, 1202.67, 0.30202
18, 4112.29, 1549.85, 0.376883
18, 4136.12, 1702.69, 0.411663
18, 4134.5, 1622.75, 0.392491
20, 4299.45, 1861.05, 0.432858
20, 4301.88, 1870.33, 0.43477
20, 4267.85, 1799.11, 0.421548
22, 4496.35, 2532.64, 0.563264
22, 4474.88, 2361.46, 0.527715
22, 4485.64, 2209.16, 0.492495
24, 4204.38, 2619.37, 0.623009
24, 4199.51, 2916.87, 0.694576
24, 4201.06, 2913.24, 0.693454
26, 4304.13, 2897.1, 0.673098
26, 4356.47, 3038.06, 0.697367
26, 4357.44, 3404.5, 0.781307
28, 4252.57, 3807.73, 0.895395
28, 4241.24, 3836.23, 0.904508
28, 4273.95, 2953.68, 0.691088
30, 4313.41, 3609.74, 0.836864
30, 4356.87, 3312.15, 0.760213
30, 4337.5, 3844.31, 0.886296
32, 4246.22, 4129.34, 0.972474
32, 4248.09, 4141.12, 0.97482
32, 4237.96, 3611.77, 0.852243
34, 4372.89, 4527.45, 1.03534
34, 4357.71, 4533.39, 1.04032
34, 4377, 4010.18, 0.916193
36, 4099.92, 4058.09, 0.989796
36, 4095.92, 3972.38, 0.969838
36, 4106.31, 3936.32, 0.958603
38, 4297.94, 3775.83, 0.878521
38, 4284.6, 4191.52, 0.978275
38, 4310.34, 3841.48, 0.891224
40, 4283.2, 4370.85, 1.02046
40, 4278.66, 4437.56, 1.03714
40, 4265.3, 4298.81, 1.00786
42, 4440.91, 4864.24, 1.09532
42, 4452.51, 4579.31, 1.02848
42, 4452.29, 4180.62, 0.938982
44, 3941.95, 5023.26, 1.27431
44, 3934.65, 4999.78, 1.27071
44, 3942.59, 4640.48, 1.17701
46, 4157.55, 4886.08, 1.17523
46, 4156.76, 4431.06, 1.06599
46, 4162.18, 4860.67, 1.16782
