size_1, gflops, gflops_mpi, speedup
2, 88.0147, 3.56804, 0.0405392
2, 78.0181, 3.60763, 0.046241
2, 92.9673, 3.41123, 0.0366928
4, 575.087, 28.2079, 0.0490498
4, 626.643, 25.5714, 0.040807
4, 590.468, 28.719, 0.0486378
6, 1186.84, 90.4175, 0.0761832
6, 1305.78, 90.0536, 0.0689656
6, 1104.52, 90.7783, 0.0821878
8, 2235.6, 210.449, 0.0941354
8, 1831.4, 217.996, 0.119033
8, 2024.88, 214.293, 0.10583
10, 2782.85, 375.406, 0.1349
10, 2383.29, 365.798, 0.153484
10, 3199.28, 381.298, 0.119182
12, 2358.91, 642.707, 0.272459
12, 3284.85, 653.629, 0.198983
12, 2399.97, 217.669, 0.0906963
14, 3409.56, 940.206, 0.275756
14, 3733.78, 827.946, 0.221744
14, 3888.23, 945.525, 0.243176
16, 3834.28, 1103.5, 0.2878
16, 2877.33, 1318.89, 0.458372
16, 3008.4, 1219.29, 0.405295
18, 3794.27, 1514, 0.399023
18, 3622.53, 1545.29, 0.426576
18, 3652.33, 1396.04, 0.382231
20, 3051.76, 2024.49, 0.663383
20, 3834.65, 1744.38, 0.4549
20, 3801.84, 1794.86, 0.472102
22, 3473.6, 1769.15, 0.509314
22, 3661.98, 2152.15, 0.587702
22, 3390.78, 2107.79, 0.621623
24, 3258.01, 2342.14, 0.718886
24, 3498.95, 1667.12, 0.476463
24, 3838.03, 1470.44, 0.383122
26, 3681.73, 1777.12, 0.482686
26, 3524.48, 2841.08, 0.806099
26, 3821.12, 2983.1, 0.780688
28, 3779.41, 2810.2, 0.743556
28, 3708.35, 2826.27, 0.762136
28, 3475.86, 2855.58, 0.821544
30, 3628.5, 3431.51, 0.94571
30, 3678.63, 1534.24, 0.417069
30, 4039.17, 2926.22, 0.724462
32, 4119.55, 3357.94, 0.815123
32, 3516.81, 3781.65, 1.07531
32, 3708.3, 3477.44, 0.937745
34, 4062.27, 2050.68, 0.50481
34, 3994.28, 1549.61, 0.387958
34, 3872.05, 1655.49, 0.42755
36, 3644.89, 2023.01, 0.555027
36, 3615.87, 2395, 0.66236
36, 4034.31, 1651.69, 0.409409
38, 4141.66, 4124.46, 0.995848
38, 4172.92, 3567.01, 0.8548
38, 4118.65, 1516.8, 0.368277
40, 3923.76, 4199.36, 1.07024
40, 4037.93, 3947.62, 0.977635
40, 3813.49, 4241.56, 1.11225
42, 4242.59, 1726.39, 0.406919
42, 4117.54, 2886.76, 0.701089
42, 4323.45, 2763.61, 0.639215
44, 3961.25, 3064.8, 0.773696
44, 3882.83, 3434.6, 0.884562
44, 3951.18, 3334.02, 0.843804
46, 3994.91, 3889.58, 0.973633
46, 4155.28, 2232.6, 0.537292
46, 4070.27, 2068.27, 0.508141
48, 4313.51, 4126.94, 0.956747
48, 4152, 2134.66, 0.514127
48, 4190.46, 2793.09, 0.666534
50, 3557.52, 4245.93, 1.19351
50, 3978.51, 2826.23, 0.710373
50, 4386.13, 2840.42, 0.647591
52, 4439.92, 3319.56, 0.747662
52, 4551.12, 3069.86, 0.674528
52, 4568.73, 3008.14, 0.65842
54, 4117.8, 2434.59, 0.591237
54, 4177.52, 2971.62, 0.711335
54, 4157.82, 3084.78, 0.741923
56, 4255, 3554.3, 0.835324
56, 4274.43, 2545.22, 0.595453
56, 4282.91, 2465.37, 0.575631
58, 4411.83, 3060.45, 0.693693
58, 4302.15, 3127.09, 0.726866
58, 4399.41, 3791.04, 0.861715
60, 4561.89, 2849.57, 0.624647
60, 4537.05, 5681.54, 1.25225
60, 4455.13, 3510.14, 0.787886
62, 4179.99, 3190.02, 0.763165
62, 4236.88, 5574.92, 1.31581
62, 4171.6, 3976.34, 0.953193
64, 4303.18, 3534.6, 0.821392
64, 4167.31, 3645.15, 0.874701
64, 4172.26, 3103.3, 0.743794
66, 4327.34, 3741.85, 0.8647
66, 4347.32, 3208.7, 0.738087
66, 4403.81, 3013.17, 0.684219
68, 4502.56, 2586.58, 0.574468
68, 4357.2, 2651.68, 0.608574
68, 4427.97, 2652.66, 0.59907
70, 4557.35, 3390.76, 0.74402
70, 4563.16, 3473.81, 0.761274
70, 4612.22, 2620.17, 0.568092
72, 3903.08, 3333.48, 0.854064
72, 3891.9, 3372.92, 0.86665
72, 3842.78, 3101.74, 0.80716
74, 4349.68, 3144.65, 0.722962
74, 4341.8, 4495.69, 1.03544
74, 4365.98, 3461.59, 0.792855
76, 4047.26, 3564.75, 0.880782
76, 4032.24, 3535.34, 0.876768
76, 4007.37, 3499.12, 0.873173
78, 4504.98, 3656.62, 0.811683
78, 4513.64, 3737.89, 0.828132
78, 4488.12, 3249.35, 0.723989
80, 4308.97, 4331.78, 1.00529
80, 4281.56, 3860.53, 0.901665
80, 4316.92, 5168.22, 1.1972
82, 4336.86, 3485.62, 0.803721
82, 4297.61, 4628.29, 1.07694
82, 4315.31, 4504.87, 1.04393
84, 4181.5, 4260.57, 1.01891
84, 4205.43, 3741.82, 0.889759
84, 4274.83, 4010.51, 0.938168
86, 4436.43, 3634.46, 0.819231
86, 4442.77, 3392.88, 0.763686
86, 4455.79, 4756.47, 1.06748
88, 3901.72, 4070.17, 1.04317
88, 4006.98, 4271.38, 1.06598
88, 3986.7, 4631.7, 1.16179
90, 4370.09, 3877.17, 0.887207
90, 4419.16, 4389.94, 0.993389
90, 4449.98, 3209.11, 0.72115
92, 4504.06, 3812.88, 0.846544
92, 4493.46, 4421.2, 0.983919
92, 4357.53, 4762.88, 1.09302
94, 4373.72, 3461.26, 0.791377
94, 4351.13, 4011.19, 0.921872
94, 4402.64, 3665.55, 0.832579
96, 3930.22, 4332.89, 1.10246
96, 3932.91, 4957.02, 1.2604
96, 3929.87, 5230.95, 1.33108
98, 4307.81, 4288.41, 0.995497
98, 4220.58, 4300.15, 1.01885
98, 4197.21, 3986.58, 0.949817
100, 4198.02, 4944.13, 1.17773
100, 4179.98, 4904.82, 1.17341
100, 4184.83, 4877.37, 1.16549
102, 4378.74, 4265.11, 0.97405
102, 4381.52, 4347.34, 0.992198
102, 4398.12, 3775.8, 0.858502
104, 4437.88, 5116.04, 1.15281
104, 4450.83, 4481.3, 1.00685
104, 4448.5, 5357.91, 1.20443
106, 4343.69, 4343.43, 0.999938
