size_1, gflops, gflops_mpi, speedup
2, 24.9919, 0.930281, 0.0372233
2, 24.6667, 0.997749, 0.0404493
2, 26.4304, 1.07005, 0.0404854
4, 210.923, 8.28661, 0.0392873
4, 205.983, 8.26814, 0.0401398
4, 200.213, 8.28496, 0.0413808
6, 528.286, 28.7681, 0.0544556
6, 570.563, 28.1465, 0.0493311
6, 576.817, 27.9302, 0.0484212
8, 1156.33, 61.7541, 0.0534053
8, 1233.86, 66.1194, 0.0535873
8, 1233.24, 63.7115, 0.051662
10, 1755.52, 123.948, 0.0706049
10, 1797.84, 120.458, 0.0670012
10, 1726.12, 122.292, 0.0708479
12, 2146.51, 206.096, 0.0960144
12, 2106, 193.214, 0.0917448
12, 2174.67, 219.125, 0.100762
14, 2579.22, 329.678, 0.127821
14, 2736.07, 288.954, 0.105609
14, 2611.34, 329.172, 0.126055
16, 3089.24, 476.91, 0.154378
16, 3087.5, 443.872, 0.143764
16, 3205.86, 457.221, 0.142621
18, 3439.53, 618.049, 0.17969
18, 3375.32, 588.626, 0.174391
18, 3446.97, 626.49, 0.181751
20, 3785.98, 840.346, 0.221962
20, 3682.94, 769.585, 0.20896
20, 3659.87, 818.343, 0.223599
22, 3979.5, 1025.84, 0.257781
22, 4019.01, 991.26, 0.246643
22, 4041.5, 980.45, 0.242596
24, 3530.56, 1099.68, 0.311475
24, 3533.02, 1285.41, 0.363828
24, 3522.5, 1293.73, 0.367274
26, 4014.97, 1467.41, 0.365485
26, 4130.57, 1512.98, 0.366289
26, 4092.15, 1523, 0.372175
28, 4092.88, 1900.59, 0.464365
28, 4103.14, 1726.97, 0.420891
28, 4119.08, 1704.54, 0.413817
30, 3912.07, 1969.75, 0.503507
30, 3809.47, 2138.49, 0.561361
30, 3885.51, 1939.49, 0.499159
32, 4179.85, 2090.63, 0.500168
32, 4173.72, 2395.95, 0.574056
32, 4217.4, 1973.89, 0.468034
34, 4384.48, 2484.84, 0.566736
34, 4327.38, 2542.93, 0.587638
34, 4343.47, 2722.03, 0.626694
36, 3979.92, 2890.24, 0.726206
36, 3935.41, 2667.98, 0.677941
36, 3964.04, 2691.48, 0.678972
38, 4387.86, 3317.82, 0.756136
38, 4412.33, 2923.77, 0.662636
38, 4407.27, 2928.32, 0.66443
40, 4083.68, 3316.35, 0.8121
40, 4097.18, 3688.38, 0.900223
40, 4049.87, 3086.95, 0.762235
42, 4214.63, 3415.74, 0.810448
42, 4202.94, 3367.4, 0.801199
42, 4185.78, 3074.37, 0.73448
44, 4375.61, 4034.63, 0.92207
44, 4353.99, 3934.13, 0.903569
44, 4361.03, 3777.41, 0.866174
46, 4500.6, 3425.6, 0.761144
46, 4491.57, 3917.28, 0.87214
46, 4469.64, 3838.48, 0.858791
48, 4206.33, 3174.48, 0.754692
48, 4185.07, 3453.92, 0.825297
48, 4234.11, 3216.24, 0.759603
50, 4411.95, 4055.4, 0.919185
50, 4416.38, 3669.01, 0.830774
50, 4392.82, 3962.59, 0.90206
52, 4543.81, 3835.48, 0.844113
52, 3688.45, 4690.49, 1.27167
52, 4526.32, 4289.97, 0.947783
54, 4244.47, 3702.28, 0.872259
54, 4230.53, 4059.77, 0.959635
54, 4139.88, 4531.27, 1.09454
56, 3983.29, 4385.87, 1.10107
56, 4205.47, 4290.34, 1.02018
56, 4230.05, 4116.3, 0.973108
58, 4495.96, 4578.4, 1.01834
58, 4484.1, 4421.49, 0.986037
58, 4499.37, 4519.22, 1.00441
60, 4319.85, 4918.24, 1.13852
60, 4328.2, 4850.48, 1.12067
60, 4317.41, 4607.06, 1.06709
62, 4470.42, 4414.7, 0.987538
62, 4486.38, 4734.03, 1.0552
62, 4458.75, 5299.87, 1.18865
64, 4278.61, 5539.72, 1.29475
64, 4262.26, 4657.66, 1.09277
64, 4267.89, 4629.05, 1.08462
66, 4370.81, 5226.72, 1.19582
66, 4377.34, 4737.53, 1.08228
66, 4381.92, 5026.11, 1.14701
68, 4401.55, 5136.62, 1.167
68, 4421.4, 5132.33, 1.16079
68, 4439.74, 4745.92, 1.06896
70, 4653.25, 4670.36, 1.00368
70, 4655.56, 6274.77, 1.3478
70, 4651.28, 6233.33, 1.34013
72, 3626.89, 4839.3, 1.33428
72, 3876.07, 4793.99, 1.23682
72, 3871.84, 4402.79, 1.13713
74, 4014.22, 5522.56, 1.37575
74, 3995.56, 5265.48, 1.31783
74, 4001.37, 4847.78, 1.21153
76, 4110.89, 5505.65, 1.33928
76, 4035.28, 5665.13, 1.4039
76, 4112.33, 5589.18, 1.35913
78, 4196.31, 5507.3, 1.31241
78, 4099.59, 5643.62, 1.37663
78, 4188.23, 5659.08, 1.35119
80, 4254.82, 5671.3, 1.33291
80, 4332.19, 5807.07, 1.34045
80, 4250.52, 5168.24, 1.21591
82, 4436.39, 5649.15, 1.27336
82, 4431.87, 5450.28, 1.22979
82, 4275.02, 5612.21, 1.31279
84, 3840.06, 5233.29, 1.36282
84, 4142.43, 5330.06, 1.2867
84, 4242.1, 5693.09, 1.34204
86, 4484.01, 5268.09, 1.17486
86, 4583.9, 5600.75, 1.22183
86, 4542.54, 5681.4, 1.25071
88, 3982.07, 5076.77, 1.27491
88, 3979.29, 5856.22, 1.47167
