size_1, gflops
2, 1.37834
2, 1.40874
2, 1.45509
2, 1.44467
2, 1.46765
2, 1.48824
2, 1.48098
2, 1.47406
2, 1.43056
2, 1.39146
4, 11.136
4, 11.9383
4, 11.1605
4, 11.6829
4, 11.8067
4, 11.2946
4, 11.6216
4, 11.9865
4, 12.0661
4, 12.0855
8, 93.8432
8, 95.3522
8, 94.8517
8, 89.3158
8, 91.6963
8, 94.2203
8, 94.1351
8, 95.3378
8, 93.8083
8, 90.5956
16, 672.918
16, 684.283
16, 679.897
16, 688.562
16, 674.545
16, 685.46
16, 659.103
16, 662.249
16, 693.138
16, 652.392
32, 2955.06
32, 2783.36
32, 3129.52
32, 3136.88
32, 2581.39
32, 2674.85
32, 3073.62
32, 3136.77
32, 2801.91
32, 2693.16
64, 4611.13
64, 4970.3
64, 5437.6
64, 4865
64, 4831.5
64, 4760.8
64, 5189.64
64, 4927.2
64, 4873.3
64, 5040.29
96, 5305.21
96, 5477.23
96, 5795.99
96, 5521.42
96, 5708.33
96, 5571.84
96, 5601.97
96, 5588.1
96, 5482.78
96, 5172.1
128, 6458.81
128, 6521.93
128, 6400.78
128, 6445.97
128, 6472.41
128, 6461.93
128, 6480.01
128, 6287.63
128, 6674.17
128, 6477.68
180, 7215.35
180, 6918.03
180, 7205.9
180, 6998.9
180, 7120.75
180, 6922.51
180, 7136.31
180, 7114.47
180, 7039.6
180, 7180.33
256, 7200.37
256, 7198.02
256, 7189.39
256, 7262.67
256, 7273.75
256, 7205.35
256, 7181.29
256, 7238.85
256, 7267.42
256, 7175.68
384, 6912.62
384, 6922.94
384, 6927.22
384, 6934.09
384, 7004.88
384, 6932.46
384, 6927.28
384, 6929.81
384, 6924.43
384, 6927.92
