size_1, gflops
2, 62.7229
2, 63.175
2, 71.4366
2, 75.3016
2, 74.5449
2, 76.7312
2, 75.8089
2, 77.507
2, 77.8495
2, 73.5449
4, 468.107
4, 494.348
4, 478.683
4, 495.619
4, 480.011
4, 455.356
4, 496.442
4, 489.572
4, 481.267
4, 488.957
8, 1862.58
8, 1275.65
8, 1880.81
8, 1901.12
8, 1846.89
8, 1915.19
8, 1871.6
8, 1917.03
8, 1903.7
8, 1895.66
16, 3465.15
16, 3499.22
16, 3510.57
16, 3472.74
16, 3496.28
16, 3465.01
16, 3513.43
16, 3522.55
16, 3488.28
16, 3514.88
32, 3723.06
32, 3711.57
32, 3727.18
32, 3719.52
32, 3726.11
32, 3724.65
32, 3727.11
32, 3731.26
32, 3703.48
32, 3728.88
64, 2769.82
64, 2960.47
64, 2868.57
64, 2959.59
64, 3054.77
64, 2932.6
64, 2875.12
64, 2863.82
64, 2809.58
64, 3031.14
96, 4256.14
96, 4257.3
96, 4252.69
96, 4235.91
96, 4234.77
96, 4240.64
96, 4220.37
96, 4256.86
96, 4255.59
96, 4241.65
128, 3791.1
128, 3789.64
128, 3790.44
128, 3790.9
128, 3788.23
128, 3790.68
128, 3791.59
128, 3790.53
128, 3791.48
128, 3788.95
180, 4024.89
180, 3992.1
180, 4027.2
180, 4029.28
180, 3967.05
180, 3985.66
180, 3971.54
180, 4028.64
180, 4032.61
180, 4008.95
256, 3844.11
256, 3844.06
256, 3841.77
256, 3843.52
256, 3839.65
256, 3839.52
256, 3842.87
256, 3840.35
256, 3784.86
256, 3842.32
384, 4284.96
384, 4285.1
384, 4280.73
384, 4292.55
384, 4284.52
384, 4293.17
384, 4289.44
384, 4262.93
384, 4273.85
384, 4291.92
