size_1, gflops
2, 0.602081
2, 0.598891
2, 0.611517
2, 0.611241
2, 0.600664
2, 0.598932
2, 0.616021
2, 0.613695
2, 0.589988
2, 0.619589
4, 4.32645
4, 4.92223
4, 4.90368
4, 4.95099
4, 4.82639
4, 4.82483
4, 4.53365
4, 4.53361
4, 4.5849
4, 4.58861
8, 35.2735
8, 34.3896
8, 34.5112
8, 35.6288
8, 34.6649
8, 36.3384
8, 35.5296
8, 36.2688
8, 34.7389
8, 35.8744
16, 209.828
16, 246.269
16, 197.268
16, 248.641
16, 237.61
16, 248.53
16, 188.709
16, 212.43
16, 197.958
16, 203.338
32, 1253.01
32, 1432.02
32, 1439.88
32, 1306.98
32, 1555.94
32, 1408.18
32, 1500.04
32, 1346.23
32, 1480.01
32, 1284.39
64, 4352.3
64, 3934.11
64, 4638.56
64, 4680.02
64, 4429.28
64, 4406.37
64, 4696.56
64, 4930.59
64, 4370.38
64, 4442.91
72, 5319.26
72, 4723.48
72, 4855.76
72, 5017.49
72, 5035.25
72, 5206.17
72, 5017.92
72, 5170.93
72, 5187.34
72, 5118.44
128, 6466.91
128, 6730.61
128, 6713.7
128, 6897.34
128, 7125.8
128, 7096.16
128, 7035.06
128, 6950.63
128, 6730.01
128, 6832.09
180, 6573.76
180, 7322.31
180, 7093.51
180, 7233.76
180, 7116.75
180, 6530.45
180, 6651.31
180, 6937.82
180, 6591.84
180, 6796.47
256, 7284.7
256, 7390.43
256, 7399.85
256, 7260.94
256, 7275.12
256, 7309.34
256, 7017.76
256, 6686.31
256, 7260.38
256, 6727.88
384, 7183.37
384, 7068.31
384, 6942.92
384, 7203.45
384, 7129.04
384, 7077.33
384, 7157.83
384, 6708.87
384, 7042.33
384, 6907
