size_1, gflops
2, 17.482
2, 19.5494
2, 14.039
2, 19.6423
2, 15.1655
2, 20.3738
2, 21.5461
2, 16.1761
2, 15.5661
2, 13.1898
4, 122.45
4, 92.6002
4, 124.067
4, 152.163
4, 119.783
4, 153.594
4, 117.516
4, 120.811
4, 152.079
4, 172.315
8, 794.531
8, 940.65
8, 772.391
8, 921.693
8, 964.412
8, 948.454
8, 761.804
8, 838.281
8, 717.391
8, 913.145
16, 2617.49
16, 2639.64
16, 2493.76
16, 2786.43
16, 2735.31
16, 2590.01
16, 2647.88
16, 2813.93
16, 2741.67
16, 2897.21
32, 3682.89
32, 3570.25
32, 4837.74
32, 4013.05
32, 4843.17
32, 4976.76
32, 4771.91
32, 3673.74
32, 3714.88
32, 4962.61
64, 4338.46
64, 4951.39
64, 4108.95
64, 4564.87
64, 5085.34
64, 4563.33
64, 4463.6
64, 4619.15
64, 4216
64, 4413.49
72, 4777.25
72, 5214.11
72, 4335.13
72, 4757.61
72, 4787.61
72, 5178.13
72, 4509.89
72, 5213.44
72, 5235.58
72, 5239.19
128, 5253.72
128, 5476.34
128, 5330.38
128, 5254.85
128, 5501.78
128, 5530.58
128, 5452.19
128, 5406.7
128, 5301.57
128, 5411.5
180, 5864.98
180, 6068.33
180, 5911.57
180, 5797.03
180, 5819.15
180, 5734.87
180, 5784.42
180, 5732.66
180, 5801.69
180, 5833.15
256, 5832.33
256, 5743.15
256, 5815.98
256, 5779.18
256, 5836.99
256, 6131.61
256, 5551.73
256, 6285.71
256, 5606.27
256, 5744.93
384, 7108.68
384, 7233.55
384, 6958.21
384, 6899.62
384, 7419.51
384, 7194.87
384, 6988.72
384, 7007.9
384, 7014.51
384, 6942.82
