size_1, gflops, gflops_mpi, speedup
2, 23.4091, 2.64473, 0.112979
2, 23.8502, 2.90134, 0.121648
2, 25.0174, 3.04463, 0.121701
2, 24.4312, 2.59219, 0.106102
2, 24.4208, 3.14871, 0.128936
2, 23.5473, 2.46436, 0.104656
2, 27.0622, 2.52912, 0.0934557
2, 22.4353, 2.50739, 0.111761
2, 23.987, 3.05205, 0.127238
2, 25.2811, 3.07691, 0.121708
4, 195.338, 20.7585, 0.10627
4, 180.273, 18.1121, 0.100471
4, 199.427, 24.3053, 0.121876
4, 200.11, 20.7598, 0.103742
4, 200.359, 19.8922, 0.099283
4, 184.045, 20.7588, 0.112792
4, 197.007, 24.7271, 0.125514
4, 189.484, 20.6703, 0.109087
4, 192.003, 20.6197, 0.107392
4, 194.812, 20.0879, 0.103115
8, 1043.59, 151.533, 0.145204
8, 1181.72, 164.376, 0.139098
8, 1231.37, 165.54, 0.134435
8, 1117.2, 189.019, 0.169191
8, 1074.86, 166.653, 0.155047
8, 1024.3, 159.514, 0.155729
8, 1193.55, 171.656, 0.14382
8, 1173.89, 154.731, 0.131811
8, 1162.14, 152.782, 0.131466
8, 1235.11, 141, 0.11416
16, 2834.09, 1111.82, 0.392302
16, 2660.43, 1101.78, 0.414137
16, 2140.99, 1050.03, 0.49044
16, 3183.48, 1101.67, 0.346059
16, 2826.84, 1273.84, 0.450623
16, 3114.55, 1079.67, 0.346653
16, 2721.87, 1252.03, 0.459988
16, 3158.41, 1271.4, 0.402544
16, 2584.75, 926.141, 0.35831
16, 2879.35, 1071.35, 0.37208
32, 3952.92, 3790.85, 0.959002
32, 3906.4, 4344.38, 1.11212
32, 4037.67, 4433.19, 1.09796
32, 3902.33, 4695.76, 1.20332
32, 3876.76, 3546.99, 0.914937
32, 3804.89, 5082.83, 1.33587
32, 3833.49, 5016.77, 1.30867
32, 3870.9, 4821.78, 1.24565
32, 3846.45, 4208.89, 1.09423
32, 3922.15, 4594.25, 1.17136
64, 4171, 7236.88, 1.73505
64, 4244.23, 7160.46, 1.6871
64, 4139.35, 6676.81, 1.61301
64, 4188.55, 6939.54, 1.65679
64, 4233.57, 6755.22, 1.59563
64, 4244.01, 7256.01, 1.7097
64, 4213.71, 7219.19, 1.71326
64, 4100.78, 7144.27, 1.74217
64, 4239.97, 7203.59, 1.69897
64, 4183.91, 7262.21, 1.73575
96, 3750.08, 6998.67, 1.86627
96, 3862.03, 7004.99, 1.81381
96, 3900.43, 6932.65, 1.77741
96, 3807.35, 6963.78, 1.82904
96, 3901.1, 6934.95, 1.77769
96, 3867.53, 7000.95, 1.81019
96, 3893.78, 6966.81, 1.78921
96, 3889.61, 6941.83, 1.78471
96, 3842.47, 6980.3, 1.81662
96, 3813.59, 7002.38, 1.83617
128, 4293.2, 7344.59, 1.71075
128, 4128.26, 7568.18, 1.83326
128, 4078.99, 7626.7, 1.86975
128, 4166.03, 7554.43, 1.81334
128, 4276.53, 7493.22, 1.75217
128, 4170.32, 7547.01, 1.80969
128, 4185.2, 7654.12, 1.82885
128, 4136.37, 7449.02, 1.80086
128, 4164, 7480.75, 1.79653
128, 4115.82, 7590.3, 1.84418
180, 3918.8, 7235.65, 1.84639
180, 4043.05, 7163.94, 1.77191
180, 4064.33, 7139.74, 1.75668
180, 3930.77, 7196.62, 1.83085
180, 3900.98, 7149.84, 1.83283
180, 4047.69, 7186.51, 1.77546
180, 3885.35, 7192.21, 1.85111
180, 3964.86, 7132.21, 1.79885
180, 3968.11, 7221, 1.81976
180, 3992.14, 7199.79, 1.80349
256, 4286.14, 7187.84, 1.677
256, 4294.11, 7120.37, 1.65817
256, 4299.52, 7153.93, 1.66389
256, 4184.4, 7097.69, 1.69623
256, 4193.57, 7194.97, 1.71571
256, 4311.94, 7248.81, 1.6811
256, 4272.13, 7260.94, 1.69961
256, 4211.75, 7258.6, 1.72342
256, 4198.53, 7210.12, 1.7173
256, 4302.85, 7180.48, 1.66877
