size_1, gflops, gflops_mpi, speedup
2, 87.0763, 3.44778, 0.0395949
2, 86.6245, 3.46868, 0.0400427
2, 72.1607, 3.23568, 0.04484
4, 641.524, 22.2784, 0.0347273
4, 624.623, 27.4608, 0.0439638
4, 572.58, 25.5178, 0.0445664
6, 1017.2, 81.307, 0.0799319
6, 1037.92, 81.4728, 0.0784964
6, 1049.04, 81.0267, 0.0772387
8, 1687.78, 199.428, 0.118159
8, 1647.07, 189.992, 0.115351
8, 2086.56, 185.636, 0.0889678
10, 2269.39, 346.538, 0.152701
10, 2593.95, 296.774, 0.11441
10, 2210.81, 362.116, 0.163793
12, 2192.02, 559.665, 0.255319
12, 2349.74, 492.319, 0.20952
12, 2607.55, 579.67, 0.222304
14, 3161.51, 866.193, 0.27398
14, 3529.09, 804.818, 0.228052
14, 2975.94, 756.148, 0.254087
16, 3362.7, 1095.57, 0.325801
16, 2969, 1103.46, 0.371659
16, 3645.98, 1088.3, 0.298494
18, 3763.04, 1419.14, 0.377125
18, 3484.35, 1455.99, 0.417866
18, 2901.66, 1327.89, 0.457631
20, 2978.32, 1739.81, 0.584157
20, 3147.67, 1656.9, 0.526391
20, 3423.81, 1889.69, 0.551925
22, 3277.37, 2005.17, 0.611823
22, 3327.67, 2007.4, 0.603244
22, 3555.69, 2069.48, 0.582019
24, 3915.72, 2141.72, 0.546955
24, 3276.41, 2306.08, 0.703843
24, 3947.17, 2549.21, 0.645834
26, 3461.88, 2685.77, 0.775812
26, 3445.88, 2282.49, 0.662383
26, 3569.34, 2791.26, 0.78201
28, 3566.12, 2545.53, 0.713811
28, 3642.82, 3008.91, 0.825984
28, 3412.63, 2791.03, 0.817851
30, 3620.26, 2862.03, 0.790559
30, 3682.16, 2801.92, 0.760943
30, 3644.27, 2999.41, 0.823048
32, 4061.72, 3382.35, 0.832739
32, 3604.65, 3311.9, 0.918784
32, 3700.55, 3198.38, 0.864299
34, 3775.72, 3361.46, 0.890284
34, 4134.51, 3389.24, 0.819744
34, 3940.44, 3287.7, 0.834349
36, 3828.04, 3446.56, 0.900348
36, 3680.78, 3015.29, 0.819198
36, 3633.77, 3452.03, 0.949987
38, 3969.95, 3931.46, 0.990304
38, 3975.83, 3910.89, 0.983667
38, 4132.86, 3717.85, 0.899582
40, 3984.8, 3993.95, 1.00229
40, 3936.59, 3742.84, 0.950782
40, 4172.11, 3967.1, 0.95086
42, 4093.95, 4106.22, 1.003
42, 4273.71, 4050.89, 0.947862
42, 4135.75, 3764.72, 0.910287
44, 3623.65, 4352.6, 1.20116
44, 3933.33, 4056.7, 1.03137
44, 3673.97, 4479.02, 1.21912
46, 3954.7, 4458.05, 1.12728
46, 3952.35, 4294.42, 1.08655
46, 3963.75, 4461.25, 1.12551
48, 4004.16, 4625.66, 1.15521
48, 4139.87, 4605.14, 1.11239
48, 4124.75, 4390.93, 1.06453
50, 4486.66, 4555.53, 1.01535
50, 4502.43, 3756.88, 0.834412
50, 4409.93, 3820.29, 0.866294
52, 4568.03, 4461.2, 0.976614
52, 4343.44, 4367.35, 1.0055
52, 4524.71, 4338.94, 0.958942
54, 4047.8, 3445.95, 0.851314
54, 4077.31, 3636.71, 0.891938
54, 4159.55, 3468.46, 0.833855
56, 4125.5, 4323.96, 1.04811
56, 4297.51, 4177.68, 0.972116
56, 4287.74, 3556.14, 0.829373
58, 4354.97, 3761.05, 0.863622
