size_1, gflops
2, 3.81054
2, 4.39332
2, 4.60154
2, 4.37544
2, 4.71979
2, 4.76186
2, 4.65425
2, 4.62863
2, 4.5589
2, 4.63848
4, 35.6084
4, 36.4822
4, 35.2678
4, 35.4027
4, 37.3011
4, 37.6465
4, 36.6627
4, 36.6025
4, 36.9046
4, 36.7552
8, 276.703
8, 272.254
8, 265.248
8, 280.935
8, 262.505
8, 272.617
8, 270.052
8, 270.683
8, 276.698
8, 276.409
16, 1703.03
16, 1710.05
16, 1671.6
16, 1731.25
16, 1750.53
16, 1724.37
16, 1746.85
16, 1715.96
16, 1771.45
16, 1774.52
32, 5151.65
32, 5222.5
32, 5291.49
32, 5249.16
32, 5190.89
32, 5296.86
32, 5283.84
32, 5297.85
32, 5306.9
32, 5070.9
64, 7119.11
64, 7135.35
64, 7131.32
64, 7143.1
64, 7146.47
64, 7123.4
64, 7121.9
64, 7119.13
64, 7126.04
64, 7141.16
96, 7160.06
96, 7166.11
96, 7156.84
96, 7150.58
96, 7158.36
96, 7149.45
96, 7155.63
96, 7161.9
96, 7156.03
96, 7146.59
128, 7526.8
128, 6998.53
128, 7527.9
128, 7523.42
128, 7525.28
128, 7522.4
128, 7521.4
128, 7527.21
128, 7521.7
128, 7526.23
180, 8083
180, 8075.29
180, 8081.77
180, 8071.75
180, 8085.3
180, 8082.14
180, 8072.94
180, 8068.88
180, 8086.15
180, 8086.1
256, 7637.87
256, 7642.78
256, 7652.34
256, 7645.09
256, 7618.5
256, 7642.42
256, 7648.76
256, 7646.96
256, 7634.3
256, 7640.71
384, 7314.5
384, 7327.51
384, 7335.65
384, 7326.83
384, 7321.46
384, 7335.29
384, 7320.41
384, 7316.47
384, 7315.05
384, 7311.72
