size_1, gflops
2, 0.826059
2, 0.886212
2, 0.873096
2, 0.888056
2, 0.887816
2, 0.870112
2, 0.900028
2, 0.900136
2, 0.90712
2, 0.882308
4, 7.19324
4, 7.12709
4, 7.12733
4, 7.12348
4, 7.01088
4, 6.94321
4, 7.07086
4, 7.0591
4, 7.05279
4, 7.03613
8, 55.9589
8, 54.5996
8, 55.6198
8, 54.65
8, 54.6407
8, 54.5759
8, 55.8192
8, 55.2408
8, 55.1678
8, 54.2679
16, 393.873
16, 391.628
16, 395.677
16, 396.48
16, 399.629
16, 411.142
16, 400.313
16, 399.888
16, 398.881
16, 403.156
32, 2098.37
32, 1913.78
32, 1944.41
32, 1917.85
32, 2001.94
32, 2071.87
32, 1876.38
32, 1871.43
32, 2014.5
32, 1927.13
64, 4623.51
64, 4797.13
64, 4641.05
64, 4413.43
64, 4662.67
64, 4573.96
64, 4750.53
64, 4509.36
64, 4547.85
64, 4788.93
96, 5147.13
96, 5003.72
96, 5175.89
96, 5400.28
96, 5346.25
96, 5293.48
96, 5516.13
96, 5057.93
96, 5233.86
96, 5112.98
128, 6382.49
128, 6288.17
128, 6067.67
128, 5909.2
128, 6130.2
128, 6132.73
128, 6167.52
128, 6042.48
128, 6227.46
128, 6228.84
180, 6704.06
180, 6982.53
180, 6414.61
180, 6495.61
180, 6759.61
180, 6354
180, 6692.94
180, 6798.64
180, 6713.26
180, 6963.65
256, 7006.68
256, 7180.94
256, 7049.58
256, 7109.15
256, 7029.32
256, 7019.27
256, 7114.44
256, 7065.24
256, 7010.29
256, 7037.56
384, 6889.99
384, 6983.72
384, 6997.15
384, 6995.27
384, 6978.69
384, 7045.23
384, 6973.93
384, 7047.57
384, 7039.12
384, 6951.78
