size_1, gflops
2, 37.1695
2, 52.4391
2, 57.2459
2, 35.2946
2, 40.8093
2, 43.8247
2, 42.572
2, 39.2628
2, 46.2297
2, 27.982
4, 301.737
4, 356.459
4, 306.893
4, 307.969
4, 222.818
4, 227.543
4, 248.594
4, 232.358
4, 325.645
4, 320.19
8, 1383.26
8, 1370.67
8, 1452.83
8, 1363.5
8, 1445.18
8, 1445.28
8, 1393.36
8, 1444.96
8, 1323.97
8, 1336.09
16, 2568.05
16, 2819.16
16, 2450.77
16, 2854.79
16, 2528.1
16, 2487.08
16, 2516.1
16, 2543.75
16, 2836.51
16, 2830.76
32, 3674.68
32, 3458.51
32, 3163.83
32, 3152.61
32, 3645.48
32, 3519.6
32, 3559.64
32, 3535.08
32, 3472.1
32, 3493.7
64, 3695.21
64, 3684.36
64, 3611.83
64, 3670.73
64, 4062.05
64, 3637.37
64, 3567
64, 3969.76
64, 3907.72
64, 4288.12
96, 4659.29
96, 4545.69
96, 4870.36
96, 4216.43
96, 5402.43
96, 4255.12
96, 4477.91
96, 4625.75
96, 5129.03
96, 4627.16
128, 4253.12
128, 4759.7
128, 4798.92
128, 4627.16
128, 4590.43
128, 4936.33
128, 4395.3
128, 4321.37
128, 5522.71
128, 4694.09
180, 4845.6
180, 4949.7
180, 4791.81
180, 4717.22
180, 5252.12
180, 4569.17
180, 4632.57
180, 5047.65
180, 4793.65
180, 4919.31
256, 4945.63
256, 4658.54
256, 4700.63
256, 5112.42
256, 4874.51
256, 4536.83
256, 4599.08
256, 4486.28
256, 4897.79
256, 4788.49
384, 5504.75
384, 5677.54
384, 5716.85
384, 5321.56
384, 5610.76
384, 5880.21
384, 5382.37
384, 5504.71
384, 5625.16
384, 5461.45
