size_1, gflops
2, 62.3418
2, 87.7596
2, 83.1918
2, 89.1292
2, 74.8086
2, 76.6579
2, 92.8542
2, 74.4927
2, 72.902
2, 73.0439
4, 478.84
4, 471.692
4, 500.83
4, 473.061
4, 557.217
4, 552.068
4, 584.56
4, 560.075
4, 556.189
4, 550.744
8, 1853.97
8, 2011.83
8, 2041.49
8, 2007.95
8, 1978.12
8, 2037.96
8, 1828.87
8, 1965.25
8, 2068.88
8, 2042.32
16, 3504.06
16, 3560.45
16, 3552.54
16, 3542.87
16, 3553.63
16, 3544.2
16, 3540.32
16, 3435.5
16, 3431.43
16, 3477.18
32, 3723.69
32, 3730.44
32, 3711.14
32, 3714.9
32, 3656.94
32, 3723.65
32, 3710.47
32, 3723.11
32, 3710.08
32, 3688.83
64, 2752.16
64, 2856.6
64, 2719.56
64, 2769.5
64, 2731.87
64, 3015.87
64, 2736
64, 2753.89
64, 2717.01
64, 2710.13
96, 4187.07
96, 4176.65
96, 4187.29
96, 4206.43
96, 4229.05
96, 4192.66
96, 4172.69
96, 4205.22
96, 4209.94
96, 4199.53
128, 3785.44
128, 3790.44
128, 3781.97
128, 3783.52
128, 3781.89
128, 3773.82
128, 3785.46
128, 3776.17
128, 3785.18
128, 3782.19
180, 4019.28
180, 4022.69
180, 4026.69
180, 4021.72
180, 4020.33
180, 4024.15
180, 4021.69
180, 4024.42
180, 3998.23
180, 4015.38
256, 3835.8
256, 3773.76
256, 3794.37
256, 3831.31
256, 3768.91
256, 3757.96
256, 3779.33
256, 3766.88
256, 3777.56
256, 3768.76
384, 4313.21
384, 4295.44
384, 4278.21
384, 4290.95
384, 4295.72
384, 4301.65
384, 4305.97
384, 4300.06
384, 4309.35
384, 4304.38
