size_1, gflops
2, 3.41566
2, 3.43681
2, 3.65804
2, 3.61494
2, 3.7101
2, 3.62851
2, 3.60033
2, 3.60638
2, 3.64978
2, 3.45144
4, 28.8744
4, 28.2145
4, 27.6463
4, 27.3702
4, 27.4837
4, 25.704
4, 24.9708
4, 24.7458
4, 25.1777
4, 23.766
8, 188.798
8, 192.976
8, 190.045
8, 190.572
8, 178.424
8, 195.439
8, 186.86
8, 188.322
8, 185.018
8, 198.85
16, 1282.55
16, 1297.69
16, 1301.62
16, 1333.03
16, 1267.46
16, 1259.2
16, 1300.37
16, 1291.92
16, 1324.01
16, 1282.21
32, 5559.87
32, 5654.89
32, 5701.03
32, 5487.97
32, 5600.83
32, 5561.81
32, 5515.48
32, 5653.55
32, 5424.38
32, 5654.11
64, 8362.37
64, 8262.96
64, 8473.37
64, 8352.65
64, 8410.66
64, 8235.81
64, 8218.19
64, 8053.56
64, 8524.17
64, 8495.49
72, 8328.7
72, 8157.08
72, 8193.12
72, 8180.65
72, 7980.94
72, 8375.84
72, 8344.13
72, 8353.4
72, 7654.47
72, 7688.52
128, 8930.7
128, 8904.03
128, 8816.07
128, 8765.68
128, 8924.95
128, 8775.1
128, 8584.67
128, 8675.28
128, 8749.68
128, 8898.91
180, 8114.59
180, 8152.26
180, 8056.54
180, 8068.72
180, 8141.78
180, 8077.29
180, 8097.36
180, 8135.13
180, 8103.2
180, 8118
256, 8267.21
256, 8220.68
256, 8208.75
256, 8225.48
256, 8255.14
256, 8287.07
256, 8238.82
256, 8214.62
256, 8188.58
256, 8254.14
384, 7276.63
384, 7234.28
384, 7261.2
384, 7304.86
384, 7229.02
384, 7215.76
384, 7277.05
384, 7428.03
384, 7292.56
384, 7271.89
