size_1, gflops
2, 0.915595
2, 0.942181
2, 0.958694
2, 0.995935
2, 0.964324
2, 0.983454
2, 0.932402
2, 0.920524
2, 0.946629
2, 0.954344
4, 7.71713
4, 7.67829
4, 7.34203
4, 7.68799
4, 7.60114
4, 7.43932
4, 7.72824
4, 7.5256
4, 7.40831
4, 7.47138
8, 57.2641
8, 56.8582
8, 58.5155
8, 55.5044
8, 56.348
8, 59.2171
8, 58.6083
8, 57.8129
8, 57.1268
8, 55.9261
16, 409.537
16, 415.772
16, 408.617
16, 409.969
16, 416.715
16, 424.73
16, 432.277
16, 433.097
16, 403.192
16, 399.934
32, 2476.05
32, 2483.04
32, 1940.54
32, 2055.13
32, 2520.75
32, 2199.77
32, 2116.28
32, 2294.52
32, 2215.31
32, 2067.07
64, 5116.06
64, 5277.28
64, 5250.48
64, 5211.88
64, 5431.33
64, 6039.44
64, 5506.23
64, 5451.57
64, 5887.66
64, 5413.19
72, 5612.76
72, 5737.44
72, 5832.16
72, 5679.34
72, 5173.76
72, 6050.73
72, 6145.44
72, 5619.02
72, 5814.65
72, 5339.99
128, 6765.77
128, 7746.35
128, 7111.62
128, 7831.11
128, 7606.42
128, 7408.58
128, 7596.73
128, 7889.15
128, 7722.47
128, 7476.75
180, 7215.05
180, 7714.47
180, 7137.88
180, 7467.68
180, 7665.79
180, 7733.3
180, 7397.58
180, 7163.51
180, 7161.24
180, 6982.7
256, 7862.98
256, 7561.38
256, 7624.05
256, 7712.92
256, 7231.44
256, 7409.65
256, 7494.66
256, 7402.7
256, 7318.72
256, 7491.02
384, 7507.59
384, 7420.59
384, 7355.52
384, 7427.73
384, 7090.35
384, 7394.08
384, 7102.52
384, 7364.04
384, 6757.33
384, 6862.19
