size_1, gflops
2, 32.4793
2, 33.1415
2, 32.4886
2, 30.5526
2, 31.3885
2, 29.9419
2, 30.692
2, 31.0926
2, 31.8047
2, 31.4807
4, 223.571
4, 229.307
4, 248.089
4, 245.361
4, 252.541
4, 230.752
4, 163.107
4, 256.963
4, 253.662
4, 244.008
8, 1236.23
8, 1365.06
8, 1358.39
8, 1476.02
8, 1453.06
8, 1400.68
8, 1436.99
8, 1406.88
8, 1416.5
8, 1441.42
16, 3609.86
16, 3702.47
16, 3565.81
16, 3607.86
16, 3753.43
16, 3571.46
16, 3560.1
16, 3594.2
16, 3604.52
16, 3604.3
32, 4953.29
32, 4960.35
32, 2921.53
32, 4934.76
32, 4959.6
32, 4967.74
32, 4904.48
32, 4919.11
32, 4939.51
32, 4883.78
64, 3781.94
64, 4904.41
64, 4914.78
64, 4915.73
64, 4913.37
64, 4910.08
64, 4893.88
64, 4893.05
64, 4901.88
64, 4905.61
72, 5437.81
72, 5432.56
72, 5434.21
72, 5428.94
72, 5439.18
72, 5438.87
72, 5440.96
72, 5412.05
72, 5438.34
72, 5416.63
128, 4849.56
128, 4849.35
128, 4580.88
128, 4853.63
128, 4861.57
128, 4850.5
128, 4855.59
128, 4862.31
128, 4833.79
128, 4854.29
180, 5166.67
180, 5019.84
180, 5163.59
180, 4994.98
180, 4962.66
180, 5020.92
180, 5019.3
180, 5021.06
180, 5105.08
180, 5017.54
256, 4677.28
256, 4750.16
256, 4695.17
256, 4708.33
256, 4721.21
256, 4729.57
256, 4720.29
256, 4698.22
256, 4704.13
256, 4711.27
384, 5137.07
384, 5149.86
384, 5136.01
384, 5172.59
384, 5128.15
384, 5150.61
384, 5141.45
384, 5137.49
384, 5134.71
384, 5133.87
512, 4573.34
512, 4594.62
512, 4599.68
512, 4591.84
512, 4623.71
512, 4596.11
512, 4584.17
512, 4608.45
512, 4640.71
512, 4611.64
