size_1, gflops
2, 3.11211
2, 3.31539
2, 3.26627
2, 3.24624
2, 3.22554
2, 3.01928
2, 3.97559
2, 3.79352
2, 3.77399
2, 3.95278
4, 26.6504
4, 27.6346
4, 26.2763
4, 21.5388
4, 23.9074
4, 21.1053
4, 27.5038
4, 24.6482
4, 24.0143
4, 22.7799
8, 207.663
8, 201.19
8, 166.95
8, 166.033
8, 193.501
8, 169.879
8, 188.623
8, 180.523
8, 174.601
8, 173.395
16, 1139.14
16, 1159.76
16, 1221.82
16, 1064.67
16, 1483.24
16, 1035.44
16, 1323.04
16, 1237.92
16, 1250.59
16, 1318.02
32, 5796.69
32, 5527.83
32, 5030.92
32, 5396.77
32, 5167.69
32, 5023.89
32, 5022.25
32, 5667.37
32, 5214.99
32, 5700.82
64, 8197.2
64, 8537.01
64, 8539.34
64, 8134.24
64, 7508.26
64, 8443.25
64, 8165.43
64, 8437.84
64, 7692.53
64, 8509.41
72, 7444.25
72, 8389.97
72, 8162.09
72, 7999.39
72, 8385.21
72, 8231.86
72, 8355.72
72, 8483.44
72, 7950.29
72, 7613.46
128, 8562.35
128, 8666.49
128, 8557.15
128, 8707.46
128, 8762.25
128, 8520.45
128, 8677.48
128, 8753.16
128, 8596.77
128, 8530.58
180, 8144.15
180, 8179.14
180, 8156.43
180, 8119.81
180, 8068.75
180, 8141.51
180, 8132.79
180, 8175.17
180, 8118.47
180, 8133.5
256, 8314.64
256, 8312.15
256, 8307.49
256, 8153.82
256, 8273.29
256, 8247.37
256, 8213.1
256, 8258.48
256, 8325.56
256, 8314.45
384, 7353.71
384, 7294.81
384, 7369.72
384, 7248.31
384, 7249.68
384, 7324
384, 7278.97
384, 7287.92
384, 7247.58
384, 7369.91
